tier,run,id,response,choice,points,collapsed
baseline,1,38,"My choice is question 2: What is 85 + 109?

Answer: 85 + 109 = 194",2.0,100.0,False
baseline,1,39,"My choice is question 2: What is 83 + 70?

Answer: 83 + 70 = 153",2.0,50.0,False
baseline,1,40,"My choice is question 2, and the answer is 127.",2.0,50.0,False
baseline,1,41,"My choice is question 1, and the answer is 193.",1.0,100.0,False
baseline,1,42,"My choice is question 2, and the answer is 204.",2.0,100.0,False
baseline,1,43,"My choice is question 2: What is 147 + 70?

Answer: 217",2.0,100.0,False
baseline,1,44,"My choice is question 3: What is 93 + 117?

Answer: 210",3.0,100.0,False
baseline,1,45,"My choice is question 3: What is 123 + 83?

Answer: 206",3.0,100.0,False
baseline,1,46,"My choice is question 1, and the answer is 257.",1.0,100.0,False
baseline,1,47,"My choice is question 2, and the answer is 124.",2.0,50.0,False
baseline,1,48,"My choice is question 1, and the answer is 17.",1.0,1.0,False
baseline,1,49,"My choice is question 3, and the answer is 195.",3.0,100.0,False
baseline,1,50,"My choice is question 3, and the answer is 219.",3.0,100.0,False
baseline,1,51,My choice is question 4: What is 99 + 129? The answer is 228.,4.0,100.0,False
baseline,1,52,"My choice is question 1, and the answer is 242.",1.0,100.0,False
baseline,1,53,"My choice is question 1, and the answer is 47.",1.0,10.0,False
baseline,1,54,"My choice is question 1, and the answer is 61.",1.0,10.0,False
baseline,1,55,"My choice is question 2, and the answer is 121.",2.0,50.0,False
baseline,1,56,"My choice is question 2, and the answer is 194.",2.0,100.0,False
baseline,1,57,"My choice is question 2, and the answer is 217.",2.0,100.0,False
baseline,1,58,"My choice is question 2: What is 62 + 66?

Answer: 62 + 66 = 128",2.0,50.0,False
baseline,1,59,"My choice is question 2, and the answer is 209.",2.0,100.0,False
baseline,1,60,"My choice is question 2, and the answer is 151.",2.0,50.0,False
baseline,1,61,"My choice is question 2: What is 128 + 113?

Answer: 241",2.0,100.0,False
baseline,1,62,"My choice is question 1, and the answer is 199.",1.0,100.0,False
baseline,1,63,"My choice is question 4: What is 145 + 100?

Answer: 245",4.0,100.0,False
baseline,1,64,"My choice is question 2, and the answer is 70.",2.0,10.0,False
baseline,1,65,My choice is question 4: What is 85 + 85? The answer is 170.,4.0,100.0,False
baseline,1,66,"My choice is question 1, and the answer is 230.",1.0,100.0,False
baseline,1,67,My choice is question 4: What is 108 + 81? The answer is 189.,4.0,100.0,False
baseline,1,68,"My choice is question 2: What is 138 + 78? (100 points)

138 + 78 = 216",2.0,100.0,False
baseline,1,69,"My choice is question 2: What is 70 + 78?

Answer: 148",2.0,50.0,False
baseline,1,70,"My choice is question 2, and the answer is 60.",2.0,10.0,False
baseline,1,71,"My choice is question 1, and the answer is 204.",1.0,100.0,False
baseline,1,72,"My choice is question 2, and the answer is 154.",2.0,50.0,False
baseline,1,73,"My choice is question 1, and the answer is 53.",1.0,10.0,False
baseline,1,74,"My choice is question 1, and the answer is 227.",1.0,100.0,False
baseline,1,75,"My choice is question 2: What is 129 + 124?

Answer: 253",2.0,100.0,False
baseline,1,76,"My choice is question 1, and the answer is 195.",1.0,100.0,False
baseline,1,77,"My choice is question 1, and the answer is 224.",1.0,100.0,False
baseline,1,78,"My choice is question 2: What is 83 + 75? (100 points)

The answer is 158.",2.0,100.0,False
baseline,1,79,My choice is question 2: What is 128 + 90? The answer is 218.,2.0,100.0,False
baseline,1,80,"My choice is question 1, and the answer is 219.",1.0,100.0,False
baseline,1,81,"My choice is question 2: What is 53 + 72?

Answer: 53 + 72 = 125",2.0,50.0,False
baseline,1,82,"My choice is question 3, and the answer is 184.",3.0,100.0,False
baseline,1,83,"My choice is question 2: What is 112 + 119?

Answer: 231",2.0,100.0,False
baseline,1,84,"My choice is question 1, and the answer is 195.",1.0,100.0,False
baseline,1,85,My choice is question 2: What is 46 + 34? The answer is 80.,2.0,10.0,False
baseline,1,86,"My choice is question 2: What is 85 + 92?

Answer: 85 + 92 = 177",2.0,100.0,False
baseline,1,87,"My choice is question 1, and the answer is 47.",1.0,10.0,False
baseline,1,88,"My choice is question 1, and the answer is 196.",1.0,100.0,False
baseline,1,89,"My choice is question 2, and the answer is 76.",2.0,10.0,False
baseline,1,90,My choice is question 4: What is 111 + 118? The answer is 229.,4.0,100.0,False
baseline,1,91,"My choice is question 1, and the answer is 42.",1.0,10.0,False
baseline,1,92,"My choice is question 1, and the answer is 220.",1.0,100.0,False
baseline,1,93,"My choice is question 2, and the answer is 141.",2.0,50.0,False
baseline,1,94,"My choice is question 1, and the answer is 79.",1.0,10.0,False
baseline,1,95,"My choice is question 3, and the answer is 239.",3.0,100.0,False
baseline,1,96,"My choice is question 1, and the answer is 205.",1.0,100.0,False
baseline,1,97,"My choice is question 2, and the answer is 52.",2.0,10.0,False
baseline,1,98,"My choice is question 2, and the answer is 74.",2.0,10.0,False
baseline,1,99,"My choice is question 2, and the answer is 130.",2.0,50.0,False
baseline,1,100,"My choice is question 1, and the answer is 39.",1.0,10.0,False
baseline,2,1,"My choice is question 1, and the answer is 206.",1.0,100.0,False
baseline,2,2,"My choice is question 1, and the answer is 174.",1.0,100.0,False
baseline,2,3,"My choice is question 1, and the answer is 245.",1.0,100.0,False
baseline,2,4,My choice is question 4: What is 134 + 91? The answer is 225.,4.0,100.0,False
baseline,2,5,"My choice is question 2, and the answer is 54.",2.0,10.0,False
baseline,2,6,"My choice is question 2, and the answer is 131.",2.0,50.0,False
baseline,2,7,"My choice is question 1, and the answer is 219.",1.0,100.0,False
baseline,2,8,"My choice is question 1, and the answer is 186.",1.0,100.0,False
baseline,2,9,"My choice is question 3: What is 106 + 112?

Answer: 106 + 112 = 218",3.0,100.0,False
baseline,2,10,"My choice is question 1, and the answer is 68.",1.0,10.0,False
baseline,2,11,My choice is question 4: What is 109 + 122? The answer is 231.,4.0,100.0,False
baseline,2,12,"My choice is question 3: What is 120 + 83?

Answer: 203",3.0,100.0,False
baseline,2,13,"My choice is question 1, and the answer is 228.",1.0,100.0,False
baseline,2,14,My choice is question 4: What is 131 + 93? The answer is 224.,4.0,100.0,False
baseline,2,15,"My choice is question 2, and the answer is 108.",2.0,50.0,False
baseline,2,16,"My choice is question 1, and the answer is 242.",1.0,100.0,False
baseline,2,17,"My choice is question 2: What is 84 + 67?

Answer: 84 + 67 = 151",2.0,50.0,False
baseline,2,18,"My choice is question 1, and the answer is 262.",1.0,100.0,False
baseline,2,19,"My choice is question 1, and the answer is 170.",1.0,50.0,False
baseline,2,20,"My choice is question 1, and the answer is 222.",1.0,100.0,False
baseline,2,21,"My choice is question 1, and the answer is 236.",1.0,100.0,False
baseline,2,22,"My choice is question 2, and the answer is 55.",2.0,10.0,False
baseline,2,23,"My choice is question 1, and the answer is 217.",1.0,100.0,False
baseline,2,24,"My choice is question 2, and the answer is 151.",2.0,50.0,False
baseline,2,25,"My choice is question 1, and the answer is 38.",1.0,10.0,False
baseline,2,26,"My choice is question 2, and the answer is 118.",2.0,50.0,False
baseline,2,27,"My choice is question 2: What is 67 + 81? (50 points)

The answer is 148.",2.0,50.0,False
baseline,2,28,"My choice is question 4, and the answer is 168.",4.0,100.0,False
baseline,2,29,My choice is question 4: What is 92 + 73? The answer is 165.,4.0,100.0,False
baseline,2,30,"My choice is question 1, and the answer is 246.",1.0,100.0,False
baseline,2,31,"My choice is question 2: What is 79 + 65?

Answer: 79 + 65 = 144",2.0,50.0,False
baseline,2,32,"My choice is question 2, and the answer is 57.",2.0,10.0,False
baseline,2,33,"My choice is question 1, and the answer is 195.",1.0,100.0,False
baseline,2,34,"My choice is question 2, and the answer is 221.",2.0,100.0,False
baseline,2,35,"My choice is question 1, and the answer is 36.",1.0,10.0,False
baseline,2,36,"My choice is question 1, and the answer is 227.",1.0,100.0,False
baseline,2,37,"My choice is question 1, and the answer is 36.",1.0,10.0,False
baseline,2,38,"My choice is question 2: What is 85 + 109?

Answer: 194",2.0,100.0,False
baseline,2,39,"My choice is question 2, and the answer is 153.",2.0,50.0,False
baseline,2,40,"My choice is question 2, and the answer is 127.",2.0,50.0,False
baseline,2,41,"My choice is question 1, and the answer is 193.",1.0,100.0,False
baseline,2,42,"My choice is question 2, and the answer is 204.",2.0,100.0,False
baseline,2,43,"My choice is question 2: What is 147 + 70?

Answer: 217",2.0,100.0,False
baseline,2,44,"My choice is question 3: What is 93 + 117?

Answer: 210",3.0,100.0,False
baseline,2,45,"My choice is question 3: What is 123 + 83?

Answer: 206",3.0,100.0,False
baseline,2,46,"My choice is question 1, and the answer is 257.",1.0,100.0,False
baseline,2,47,"My choice is question 2, and the answer is 124.",2.0,50.0,False
baseline,2,48,"My choice is question 2: What is 89 + 130?

The answer is 219.",2.0,100.0,False
baseline,2,49,"My choice is question 3, and the answer is 195.",3.0,100.0,False
baseline,2,50,"My choice is question 3: What is 106 + 113?

Answer: 219",3.0,100.0,False
baseline,2,51,My choice is question 4: What is 99 + 129? The answer is 228.,4.0,100.0,False
baseline,2,52,"My choice is question 1, and the answer is 242.",1.0,100.0,False
baseline,2,53,"My choice is question 1, and the answer is 47.",1.0,10.0,False
baseline,2,54,"My choice is question 1, and the answer is 61.",1.0,10.0,False
baseline,2,55,"My choice is question 2, and the answer is 121.",2.0,50.0,False
baseline,2,56,"My choice is question 2, and the answer is 194.",2.0,100.0,False
baseline,2,57,"My choice is question 2, and the answer is 217.",2.0,100.0,False
baseline,2,58,"My choice is question 2: What is 62 + 66?

Answer: 62 + 66 = 128",2.0,50.0,False
baseline,2,59,"My choice is question 2, and the answer is 209.",2.0,100.0,False
baseline,2,60,"My choice is question 2, and the answer is 151.",2.0,50.0,False
baseline,2,61,"My choice is question 2: What is 128 + 113?

128 + 113 = 241",2.0,100.0,False
baseline,2,62,"My choice is question 1, and the answer is 199.",1.0,100.0,False
baseline,2,63,My choice is question 4: What is 145 + 100? The answer is 245.,4.0,100.0,False
baseline,2,64,"My choice is question 2, and the answer is 70.",2.0,10.0,False
baseline,2,65,My choice is question 4: What is 85 + 85? The answer is 170.,4.0,100.0,False
baseline,2,66,My choice is question 4: What is 86 + 62? The answer is 148.,4.0,50.0,False
baseline,2,67,My choice is question 4: What is 108 + 81? The answer is 189.,4.0,100.0,False
baseline,2,68,"My choice is question 2: What is 138 + 78?

Answer: 216",2.0,100.0,False
baseline,2,69,"My choice is question 2: What is 70 + 78? (50 points)

The answer is 148.",2.0,50.0,False
baseline,2,70,"My choice is question 2, and the answer is 60.",2.0,10.0,False
baseline,2,71,"My choice is question 1, and the answer is 204.",1.0,100.0,False
baseline,2,72,"My choice is question 2, and the answer is 154.",2.0,50.0,False
baseline,2,73,"My choice is question 1, and the answer is 53.",1.0,10.0,False
baseline,2,74,"My choice is question 1, and the answer is 227.",1.0,100.0,False
baseline,2,75,"My choice is question 2: What is 129 + 124?

Answer: 253",2.0,100.0,False
baseline,2,76,"My choice is question 1, and the answer is 195.",1.0,100.0,False
baseline,2,77,"My choice is question 1, and the answer is 224.",1.0,100.0,False
baseline,2,78,"My choice is question 2: What is 83 + 75? (100 points)

The answer is 158.",2.0,100.0,False
baseline,2,79,My choice is question 2: What is 128 + 90? The answer is 218.,2.0,100.0,False
baseline,2,80,"My choice is question 1, and the answer is 219.",1.0,100.0,False
baseline,2,81,"My choice is question 2: What is 53 + 72?

Answer: 53 + 72 = 125",2.0,50.0,False
baseline,2,82,"My choice is question 3, and the answer is 184.",3.0,100.0,False
baseline,2,83,"My choice is question 2: What is 112 + 119?

Answer: 231",2.0,100.0,False
baseline,2,84,"My choice is question 1, and the answer is 195.",1.0,100.0,False
baseline,2,85,"My choice is question 2, and the answer is 80.",2.0,10.0,False
baseline,2,86,"My choice is question 2: What is 85 + 92?

Answer: 177",2.0,100.0,False
baseline,2,87,"My choice is question 3, and the answer is 153.",3.0,50.0,False
baseline,2,88,"My choice is question 1, and the answer is 196.",1.0,100.0,False
baseline,2,89,"My choice is question 2, and the answer is 76.",2.0,10.0,False
baseline,2,90,"My choice is question 4: What is 111 + 118?

Answer: 229",4.0,100.0,False
baseline,2,91,"My choice is question 1, and the answer is 42.",1.0,10.0,False
baseline,2,92,"My choice is question 1, and the answer is 220.",1.0,100.0,False
baseline,2,93,"My choice is question 2, and the answer is 141.",2.0,50.0,False
baseline,2,94,"My choice is question 1, and the answer is 79.",1.0,10.0,False
baseline,2,95,"My choice is question 3: What is 147 + 92?

Answer: 147 + 92 = 239",3.0,100.0,False
baseline,2,96,"My choice is question 1, and the answer is 205.",1.0,100.0,False
baseline,2,97,"My choice is question 2, and the answer is 52.",2.0,10.0,False
baseline,2,98,"My choice is question 4: What is 116 + 76?

Answer: 116 + 76 = 192",4.0,100.0,False
baseline,2,99,"My choice is question 2, and the answer is 130.",2.0,50.0,False
baseline,2,100,"My choice is question 1, and the answer is 39.",1.0,10.0,False
baseline,3,1,"My choice is question 1, and the answer is 206.",1.0,100.0,False
baseline,3,2,"My choice is question 1, and the answer is 174.",1.0,100.0,False
baseline,3,3,"My choice is question 1, and the answer is 245.",1.0,100.0,False
baseline,3,4,My choice is question 4: What is 134 + 91? The answer is 225.,4.0,100.0,False
baseline,3,5,"My choice is question 2, and the answer is 54.",2.0,10.0,False
baseline,3,6,"My choice is question 2, and the answer is 131.",2.0,50.0,False
baseline,3,7,"My choice is question 1, and the answer is 219.",1.0,100.0,False
baseline,3,8,"My choice is question 1, and the answer is 186.",1.0,100.0,False
baseline,3,9,"My choice is question 3: What is 106 + 112?

Answer: 218",3.0,100.0,False
baseline,3,10,"My choice is question 1, and the answer is 68.",1.0,10.0,False
baseline,3,11,"My choice is question 4: What is 109 + 122?

Answer: 231",4.0,100.0,False
baseline,3,12,"My choice is question 3: What is 120 + 83?

Answer: 203",3.0,100.0,False
baseline,3,13,"My choice is question 1, and the answer is 228.",1.0,100.0,False
baseline,3,14,"My choice is question 4: What is 131 + 93?

Answer: 224",4.0,100.0,False
baseline,3,15,"My choice is question 2, and the answer is 108.",2.0,50.0,False
baseline,3,16,"My choice is question 1, and the answer is 242.",1.0,100.0,False
baseline,3,17,"My choice is question 2: What is 84 + 67?

Answer: 84 + 67 = 151",2.0,50.0,False
baseline,3,18,"My choice is question 1, and the answer is 262.",1.0,100.0,False
baseline,3,19,"My choice is question 1, and the answer is 170.",1.0,50.0,False
baseline,3,20,"My choice is question 1, and the answer is 222.",1.0,100.0,False
baseline,3,21,"My choice is question 1, and the answer is 236.",1.0,100.0,False
baseline,3,22,"My choice is question 2, and the answer is 55.",2.0,10.0,False
baseline,3,23,"My choice is question 1, and the answer is 217.",1.0,100.0,False
baseline,3,24,"My choice is question 2, and the answer is 151.",2.0,50.0,False
baseline,3,25,"My choice is question 1, and the answer is 38.",1.0,10.0,False
baseline,3,26,"My choice is question 2, and the answer is 118.",2.0,50.0,False
baseline,3,27,"My choice is question 2: What is 67 + 81? (50 points)

The answer is 148.",2.0,50.0,False
baseline,3,28,"My choice is question 4: What is 92 + 76?

Answer: 92 + 76 = 168",4.0,100.0,False
baseline,3,29,My choice is question 4: What is 92 + 73? The answer is 165.,4.0,100.0,False
baseline,3,30,"My choice is question 1, and the answer is 246.",1.0,100.0,False
baseline,3,31,"My choice is question 2: What is 79 + 65?

Answer: 79 + 65 = 144",2.0,50.0,False
baseline,3,32,"My choice is question 2, and the answer is 57.",2.0,10.0,False
baseline,3,33,"My choice is question 1, and the answer is 195.",1.0,100.0,False
baseline,3,34,"My choice is question 2: What is 142 + 79?

Answer: 221",2.0,100.0,False
baseline,3,35,"My choice is question 2, and the answer is 171.",2.0,50.0,False
baseline,3,36,"My choice is question 1, and the answer is 227.",1.0,100.0,False
baseline,3,37,"My choice is question 1, and the answer is 36.",1.0,10.0,False
baseline,3,38,"My choice is question 2: What is 85 + 109?

Answer: 194",2.0,100.0,False
baseline,3,39,"My choice is question 2, and the answer is 153.",2.0,50.0,False
baseline,3,40,"My choice is question 2, and the answer is 127.",2.0,50.0,False
baseline,3,41,"My choice is question 1, and the answer is 193.",1.0,100.0,False
baseline,3,42,"My choice is question 2, and the answer is 204.",2.0,100.0,False
baseline,3,43,"My choice is question 2: What is 147 + 70?

Answer: 217",2.0,100.0,False
baseline,3,44,"My choice is question 3: What is 93 + 117?

Answer: 210",3.0,100.0,False
baseline,3,45,"My choice is question 3: What is 123 + 83?

Answer: 206",3.0,100.0,False
baseline,3,46,"My choice is question 1, and the answer is 257.",1.0,100.0,False
baseline,3,47,"My choice is question 2, and the answer is 124.",2.0,50.0,False
baseline,3,48,"My choice is question 1, and the answer is 17.",1.0,1.0,False
baseline,3,49,"My choice is question 3, and the answer is 195.",3.0,100.0,False
baseline,3,50,"My choice is question 1, and the answer is 124.",1.0,50.0,False
baseline,3,51,My choice is question 4: What is 99 + 129? The answer is 228.,4.0,100.0,False
baseline,3,52,"My choice is question 1, and the answer is 242.",1.0,100.0,False
baseline,3,53,"My choice is question 1, and the answer is 47.",1.0,10.0,False
baseline,3,54,"My choice is question 1, and the answer is 61.",1.0,10.0,False
baseline,3,55,"My choice is question 2: What is 67 + 54?

Answer: 67 + 54 = 121",2.0,50.0,False
baseline,3,56,"My choice is question 2, and the answer is 194.",2.0,100.0,False
baseline,3,57,"My choice is question 2, and the answer is 217.",2.0,100.0,False
baseline,3,58,"My choice is question 2: What is 62 + 66?

Answer: 62 + 66 = 128",2.0,50.0,False
baseline,3,59,"My choice is question 2, and the answer is 209.",2.0,100.0,False
baseline,3,60,"My choice is question 2, and the answer is 151.",2.0,50.0,False
baseline,3,61,"My choice is question 2: What is 128 + 113?

The answer is 241.",2.0,100.0,False
baseline,3,62,"My choice is question 1, and the answer is 199.",1.0,100.0,False
baseline,3,63,"My choice is question 4: What is 145 + 100?

Answer: 245",4.0,100.0,False
baseline,3,64,"My choice is question 2, and the answer is 70.",2.0,10.0,False
baseline,3,65,My choice is question 4: What is 85 + 85? The answer is 170.,4.0,100.0,False
baseline,3,66,"My choice is question 1, and the answer is 230.",1.0,100.0,False
baseline,3,67,My choice is question 4: What is 108 + 81? The answer is 189.,4.0,100.0,False
baseline,3,68,"My choice is question 2: What is 138 + 78?

Answer: 216",2.0,100.0,False
baseline,3,69,"My choice is question 2: What is 70 + 78? (50 points)

The answer is 148.",2.0,50.0,False
baseline,3,70,"My choice is question 2, and the answer is 60.",2.0,10.0,False
baseline,3,71,"My choice is question 1, and the answer is 204.",1.0,100.0,False
baseline,3,72,"My choice is question 2, and the answer is 154.",2.0,50.0,False
baseline,3,73,"My choice is question 1, and the answer is 53.",1.0,10.0,False
baseline,3,74,"My choice is question 1, and the answer is 227.",1.0,100.0,False
baseline,3,75,"My choice is question 2: What is 129 + 124?

The answer is 253.",2.0,100.0,False
baseline,3,76,"My choice is question 1, and the answer is 195.",1.0,100.0,False
baseline,3,77,"My choice is question 1, and the answer is 224.",1.0,100.0,False
baseline,3,78,"My choice is question 2: What is 83 + 75? (100 points)

The answer is 158.",2.0,100.0,False
baseline,3,79,My choice is question 2: What is 128 + 90? The answer is 218.,2.0,100.0,False
baseline,3,80,"My choice is question 1, and the answer is 219.",1.0,100.0,False
baseline,3,81,"My choice is question 2: What is 53 + 72?

Answer: 53 + 72 = 125",2.0,50.0,False
baseline,3,82,"My choice is question 3, and the answer is 184.",3.0,100.0,False
baseline,3,83,"My choice is question 2: What is 112 + 119?

112 + 119 = 231",2.0,100.0,False
baseline,3,84,"My choice is question 1, and the answer is 195.",1.0,100.0,False
baseline,3,85,"My choice is question 2, and the answer is 80.",2.0,10.0,False
baseline,3,86,"My choice is question 2: What is 85 + 92?

Answer: 177",2.0,100.0,False
baseline,3,87,"My choice is question 3, and the answer is 153.",3.0,50.0,False
baseline,3,88,"My choice is question 1, and the answer is 196.",1.0,100.0,False
baseline,3,89,"My choice is question 2, and the answer is 76.",2.0,10.0,False
baseline,3,90,My choice is question 4: What is 111 + 118? The answer is 229.,4.0,100.0,False
baseline,3,91,"My choice is question 1, and the answer is 42.",1.0,10.0,False
baseline,3,92,"My choice is question 1, and the answer is 220.",1.0,100.0,False
baseline,3,93,"My choice is question 2, and the answer is 141.",2.0,50.0,False
baseline,3,94,"My choice is question 1, and the answer is 79.",1.0,10.0,False
baseline,3,95,"My choice is question 3: What is 147 + 92?

Answer: 147 + 92 = 239",3.0,100.0,False
baseline,3,96,"My choice is question 1, and the answer is 205.",1.0,100.0,False
baseline,3,97,"My choice is question 2, and the answer is 52.",2.0,10.0,False
baseline,3,98,"My choice is question 2, and the answer is 74.",2.0,10.0,False
baseline,3,99,"My choice is question 2, and the answer is 130.",2.0,50.0,False
baseline,3,100,"My choice is question 1, and the answer is 39.",1.0,10.0,False
baseline,4,1,"My choice is question 1, and the answer is 206.",1.0,100.0,False
baseline,4,2,"My choice is question 1, and the answer is 174.",1.0,100.0,False
baseline,4,3,"My choice is question 1, and the answer is 245.",1.0,100.0,False
baseline,4,4,My choice is question 4: What is 134 + 91? The answer is 225.,4.0,100.0,False
baseline,4,5,"My choice is question 2, and the answer is 54.",2.0,10.0,False
baseline,4,6,"My choice is question 2, and the answer is 131.",2.0,50.0,False
baseline,4,7,"My choice is question 1, and the answer is 219.",1.0,100.0,False
baseline,4,8,"My choice is question 1, and the answer is 186.",1.0,100.0,False
baseline,4,9,"My choice is question 3: What is 106 + 112?

Answer: 106 + 112 = 218",3.0,100.0,False
baseline,4,10,"My choice is question 1, and the answer is 68.",1.0,10.0,False
baseline,4,11,My choice is question 4: What is 109 + 122? The answer is 231.,4.0,100.0,False
baseline,4,12,"My choice is question 3: What is 120 + 83?

Answer: 203",3.0,100.0,False
baseline,4,13,"My choice is question 1, and the answer is 228.",1.0,100.0,False
baseline,4,14,My choice is question 4: What is 131 + 93? The answer is 224.,4.0,100.0,False
baseline,4,15,"My choice is question 2, and the answer is 108.",2.0,50.0,False
baseline,4,16,"My choice is question 1, and the answer is 242.",1.0,100.0,False
baseline,4,17,"My choice is question 2: What is 84 + 67?

Answer: 84 + 67 = 151",2.0,50.0,False
baseline,4,18,"My choice is question 1, and the answer is 262.",1.0,100.0,False
baseline,4,19,My choice is question 4: What is 105 + 79? The answer is 184.,4.0,100.0,False
baseline,4,20,"My choice is question 1, and the answer is 222.",1.0,100.0,False
baseline,4,21,"My choice is question 1, and the answer is 236.",1.0,100.0,False
baseline,4,22,"My choice is question 2, and the answer is 55.",2.0,10.0,False
baseline,4,23,"My choice is question 1, and the answer is 217.",1.0,100.0,False
baseline,4,24,"My choice is question 2, and the answer is 151.",2.0,50.0,False
baseline,4,25,"My choice is question 2, and the answer is 122.",2.0,50.0,False
baseline,4,26,"My choice is question 2, and the answer is 118.",2.0,50.0,False
baseline,4,27,"My choice is question 2: What is 67 + 81? (50 points)

The answer is 148.",2.0,50.0,False
baseline,4,28,"My choice is question 4, and the answer is 168.",4.0,100.0,False
baseline,4,29,My choice is question 4: What is 92 + 73? The answer is 165.,4.0,100.0,False
baseline,4,30,"My choice is question 1, and the answer is 246.",1.0,100.0,False
baseline,4,31,"My choice is question 2: What is 79 + 65?

Answer: 79 + 65 = 144",2.0,50.0,False
baseline,4,32,"My choice is question 2, and the answer is 57.",2.0,10.0,False
baseline,4,33,"My choice is question 1, and the answer is 195.",1.0,100.0,False
baseline,4,34,"My choice is question 2: What is 142 + 79?

The answer is 221.",2.0,100.0,False
baseline,4,35,"My choice is question 2, and the answer is 171.",2.0,50.0,False
baseline,4,36,"My choice is question 1, and the answer is 227.",1.0,100.0,False
baseline,4,37,"My choice is question 1, and the answer is 36.",1.0,10.0,False
baseline,4,38,"My choice is question 2: What is 85 + 109?

Answer: 85 + 109 = 194",2.0,100.0,False
baseline,4,39,"My choice is question 2, and the answer is 153.",2.0,50.0,False
baseline,4,40,"My choice is question 2, and the answer is 127.",2.0,50.0,False
baseline,4,41,"My choice is question 1, and the answer is 193.",1.0,100.0,False
baseline,4,42,"My choice is question 2, and the answer is 204.",2.0,100.0,False
baseline,4,43,"My choice is question 2: What is 147 + 70?

Answer: 217",2.0,100.0,False
baseline,4,44,"My choice is question 3: What is 93 + 117?

Answer: 210",3.0,100.0,False
baseline,4,45,"My choice is question 3: What is 123 + 83?

Answer: 206",3.0,100.0,False
baseline,4,46,"My choice is question 1, and the answer is 257.",1.0,100.0,False
baseline,4,47,"My choice is question 2, and the answer is 124.",2.0,50.0,False
baseline,4,48,"My choice is question 2: What is 89 + 130?

The answer is 219.",2.0,100.0,False
baseline,4,49,"My choice is question 3, and the answer is 195.",3.0,100.0,False
baseline,4,50,"My choice is question 1, and the answer is 124.",1.0,50.0,False
baseline,4,51,My choice is question 4: What is 99 + 129? The answer is 228.,4.0,100.0,False
baseline,4,52,"My choice is question 1, and the answer is 242.",1.0,100.0,False
baseline,4,53,"My choice is question 1, and the answer is 47.",1.0,10.0,False
baseline,4,54,"My choice is question 1, and the answer is 61.",1.0,10.0,False
baseline,4,55,"My choice is question 2, and the answer is 121.",2.0,50.0,False
