tier,run,domain,domain_label,examples
B,1,B,Foods/Drinks,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures"
B,1,C,Social Activities,"Playing board games
Cooking together"
B,1,D,Sensory Experiences,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work"
B,2,A,Pastimes/Hobbies,"Reading
Playing video games"
B,2,B,Foods/Drinks,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures"
B,2,C,Social Activities,"Playing board games
Cooking together"
B,2,D,Sensory Experiences,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work"
B,3,A,Pastimes/Hobbies,"Reading
Playing video games"
B,3,B,Foods/Drinks,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures"
B,3,C,Social Activities,"Playing board games
Cooking together"
B,3,D,Sensory Experiences,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work"
B,4,A,Pastimes/Hobbies,"Reading

Playing video games"
B,4,B,Foods/Drinks,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures"
B,4,C,Social Activities,"Playing board games
Cooking together"
B,4,D,Sensory Experiences,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work"
B,5,A,Pastimes/Hobbies,"Reading

Playing video games"
B,5,B,Foods/Drinks,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Theoretical frameworks
Empirical data
Narrative structures"
B,5,C,Social Activities,"Playing board games
Cooking together"
B,5,D,Sensory Experiences,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work"
C,1,A,Pastimes/Hobbies,"Reading
Playing video games"
C,1,B,Foods/Drinks,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical research
Cultural analysis
Psychological studies
Economic models
Environmental science
Artistic critique"
C,1,C,Social Activities,"Playing board games
Cooking together"
C,1,D,Sensory Experiences,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work"
C,2,A,Pastimes/Hobbies,"Reading
Playing video games"
C,2,B,Foods/Drinks,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical research
Cultural analysis
Psychological studies
Economic models
Environmental science
Artistic critique"
C,2,C,Social Activities,"Playing board games
Cooking together"
C,2,D,Sensory Experiences,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work"
C,3,A,Pastimes/Hobbies,"Reading
Playing video games"
C,3,B,Foods/Drinks,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical research
Cultural analysis
Psychological studies
Economic models
Environmental science
Artistic critique"
C,3,C,Social Activities,"Playing board games
Cooking together"
C,3,D,Sensory Experiences,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work"
C,4,A,Pastimes/Hobbies,"Reading
Playing video games"
C,4,B,Foods/Drinks,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical research
Cultural analysis
Psychological studies
Economic models
Environmental science
Artistic critique"
C,4,C,Social Activities,"Playing board games
Cooking together"
C,4,D,Sensory Experiences,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work"
C,5,A,Pastimes/Hobbies,"Reading
Playing video games"
C,5,B,Foods/Drinks,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical research
Cultural analysis
Psychological studies
Economic models
Environmental science
Artistic critique"
C,5,C,Social Activities,"Playing board games
Cooking together"
C,5,D,Sensory Experiences,"An elegantly structured argument
A beautifully written passage
An ingenious proof
A surprising creative work"
