ID,Topic,Full_Prompt,Correct_Answer_1,Reward_1,Correct_Answer_2,Reward_2,Correct_Answer_3,Reward_3,Correct_Answer_4,Reward_4
11,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the amphibian. (50 points)
2. Select the bird below. (10 points)
3. Select the one animal that has all of the reptile traits listed above. (100 points)
4. Select the vertebrate. (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",great crested newt,50,ostrich,10,"Galapagos giant tortoises hatch from eggs with shells and live on the Galapagos Islands in the Pacific Ocean. They can live to be over 150 years old! Galapagos giant tortoises have scaly, waterproof skin.",100,rainbow trout,1
12,biology,"Please choose one of the following questions about 'biology' to answer.

1. Based on this information, what is this rose plant's phenotype for the flower color trait? (100 points)
2. Select the animal that has a backbone. (50 points)
3. What can happen to the spores after they are released? (10 points)
4. Which better describes the Tibetan Plateau ecosystem? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",dark yellow flowers,100,harbor seal,50,They can grow into an adult moss plant.,10,"It has long, cold winters. It also has mostly small plants.",1
13,biology,"Please choose one of the following questions about 'biology' to answer.

1. Based on this information, what is Flash's phenotype for the horns trait? (100 points)
2. Select the organism in the same genus as the western crowned pigeon. (10 points)
3. Select the organism in the same species as the North American beaver. (1 points)
4. Select the amphibian below. (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",not having horns,100,Goura cristata,10,Castor canadensis,1,African bullfrog,50
14,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the organism in the same genus as the small-mouth salamander. (50 points)
2. What information supports the conclusion that Quincy acquired this trait? (100 points)
3. Which is this organism's scientific name? (10 points)
4. Which bird's beak is also adapted to get nectar out of long flowers? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Ambystoma texanum,50,Quincy's friend showed him how to ride a bicycle.,100,Carassius auratus,10,green violetear,1
15,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the vertebrate. (1 points)
2. What is the expected ratio of offspring with green body feathers to offspring with blue body feathers? Choose the most likely ratio. (10 points)
3. Select the animal that does not have a backbone. (100 points)
4. What information supports the conclusion that Sidney acquired this trait? (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",woodpecker,1,2:2,10,castor bean tick,100,Sidney learned history by reading.,50
16,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Scott acquired this trait? (100 points)
2. Based on this information, what is Sugar's phenotype for the fur texture trait? (1 points)
3. Which animal is also adapted to be camouflaged among dead leaves? (50 points)
4. Use the evidence in the text to select the photosynthetic organism. (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Scott learned how to build a fire at summer camp.,100,wavy fur,1,fantastic leaf-tailed gecko,50,The Sargasso Sea in the Atlantic Ocean is named after Sargassum algae. This organism floats on the surface of tropical waters and uses energy from sunlight to make food.,10
17,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which animal's feet are also adapted for sticking to smooth surfaces? (10 points)
2. Which better describes the Bering Land Bridge National Preserve ecosystem? (100 points)
3. In this food chain, the wild oat is a producer. Why? (50 points)
4. Which of the following organisms is the secondary consumer in this food web? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Madagascar day gecko,10,"It has mostly small plants. It also has short, cold summers.",100,It makes its own food.,50,plainfin midshipman,1
18,biology,"Please choose one of the following questions about 'biology' to answer.

1. What is the probability that a horse produced by this cross will be heterozygous for the coat color gene? (10 points)
2. Select the organism in the same species as the great blue heron. (100 points)
3. Which organ controls what the body's organs do? (1 points)
4. What information supports the conclusion that Whitney acquired this trait? (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",0/4,10,Ardea herodias,100,brain,1,Whitney learned how to build a fire at summer camp.,50
19,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the animal that has a backbone. (100 points)
2. Select the vertebrate. (50 points)
3. Use the evidence in the text to select the photosynthetic organism. (10 points)
4. Select the one animal that has all of the marsupial traits listed above. (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",kangaroo,100,green iguana,50,Bee orchid leaves are green because they contain chlorophyll. Chlorophyll captures energy from sunlight.,10,"Koalas have fluffy gray fur. Until a baby koala is about seven months old, its mother carries it in a pouch on the front of her body.",1
20,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the one true statement. (1 points)
2. What information supports the conclusion that Tony inherited this trait? (10 points)
3. What information supports the conclusion that Ariana inherited this trait? (50 points)
4. Select the bird below. (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",An animal cell has neither a cell wall nor chloroplasts.,1,Tony's parents have blond hair. They passed down this trait to Tony.,10,Ariana's father has brown eyes. He passed this trait down to Ariana.,50,robin,100
21,biology,"Please choose one of the following questions about 'biology' to answer.

1. Based on the arrows, which of the following organisms is an omnivore? (1 points)
2. Select the living thing. (50 points)
3. Based on this information, what is this pea plant's phenotype for the pod shape trait? (100 points)
4. What information supports the conclusion that Russell acquired this trait? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",grizzly bear,1,cat,50,constricted pods,100,Russell learned biology by doing experiments.,10
22,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Fred acquired this trait? (1 points)
2. Which animal's feet are also adapted to walk on snow and ice? (100 points)
3. Which is this organism's common name? (50 points)
4. Which bird's beak is also adapted to filter through mud? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Fred learned how to build a fire at summer camp.,1,Siberian tiger,100,bull shark,50,Canada goose,10
23,biology,"Please choose one of the following questions about 'biology' to answer.

1. Based on this information, what is Madelyn's phenotype for the Thomsen disease trait? (10 points)
2. What information supports the conclusion that David acquired this trait? (100 points)
3. Is the following trait inherited or acquired?
Porter has a scar on his left ankle. (50 points)
4. Select the organism in the same species as the red kangaroo. (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",having Thomsen disease,10,David's scar was caused by an accident. He cut his arm when he fell off his bicycle.,100,acquired,50,Macropus rufus,1
24,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the organism in the same genus as the great gray owl. (50 points)
2. Select the organism in the same genus as the copperband butterflyfish. (100 points)
3. What information supports the conclusion that Elizabeth acquired this trait? (1 points)
4. Is Leopardus wiedii made up of many cells? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Strix varia,50,Chelmon rostratus,100,Elizabeth learned how to knit in an after school program.,1,yes,10
25,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which organ uses acid to break down food? (50 points)
2. Select the reptile below. (1 points)
3. Select the mammal below. (10 points)
4. Based on this information, what is Arietta's genotype for the fur texture gene? (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",stomach,50,American alligator,1,fruit bat,10,Ff,100
26,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which statement describes the Gran Sabana ecosystem? (10 points)
2. Select the organism in the same species as the Burmese python. (100 points)
3. What information supports the conclusion that Bonnie acquired this trait? (1 points)
4. Which animal's skin is better adapted as a warning sign to ward off predators? (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",It has soil that is poor in nutrients.,10,Python bivittatus,100,Bonnie learned how to make chili from a recipe book.,1,lionfish,50
27,biology,"Please choose one of the following questions about 'biology' to answer.

1. Based on this information, what is Hermes's phenotype for the coat pattern trait? (100 points)
2. Select the organism in the same species as the snowshoe hare. (50 points)
3. Which is this organism's common name? (10 points)
4. Which animal is also adapted to be camouflaged among dead leaves? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",a spotted coat,100,Lepus americanus,50,Galapagos giant tortoise,10,plated leaf chameleon,1
28,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the one animal that has all of the arachnid traits listed above. (10 points)
2. Which of the following organisms is the secondary consumer in this food web? (100 points)
3. Which animal's feet are also adapted for digging? (1 points)
4. Which animal's feet are also adapted for sticking to smooth surfaces? (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.","Leaf-curling spiders spin webs with a leaf at the center. These spiders have an exoskeleton and eight legs, but no antennae.",10,parasitic jaeger,100,eastern mole,1,tiger-striped leaf frog,50
29,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Ava inherited this trait? (100 points)
2. Which animal's skin is also adapted for survival in cold places? (10 points)
3. Based on this information, what is this tomato plant's genotype for the fruit texture gene? (1 points)
4. Select the plant. (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Ava's father has brown eyes. He passed this trait down to Ava.,100,polar bear,10,FF,1,Dahlias can grow colorful flowers.,50
30,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which bird's beak is also adapted to tear through meat? (1 points)
2. Select the animal that has a backbone. (10 points)
3. Select the living thing. (50 points)
4. Which of these organisms contains matter that was once part of the bilberry? (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",red-tailed hawk,1,pelican,10,robin,50,grizzly bear,100
31,biology,"Please choose one of the following questions about 'biology' to answer.

1. Based on this information, what is this rose plant's genotype for the flower color gene? (50 points)
2. Is Fromia monilis made up of one cell? (1 points)
3. Select the organism in the same genus as the Eurasian beaver. (100 points)
4. Is the following trait inherited or acquired?
Emmy knows how to type. (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",FF,50,no,1,Castor fiber,100,acquired,10
32,biology,"Please choose one of the following questions about 'biology' to answer.

1. Is the following statement true or false?
A plant cell has a cell wall. (1 points)
2. In this food web, which organism contains matter that eventually moves to the bolete fungus? (100 points)
3. Is the following statement true or false?
Plant cells do not have mitochondria. (50 points)
4. What is the probability that a pea plant produced by this cross will have a tall stem? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",true,1,persimmon tree,100,false,50,2/4,10
33,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the plant. (1 points)
2. Which animal's skin is better adapted as a warning sign to ward off predators? (10 points)
3. In this food chain, the midge larva is a consumer. Why? (50 points)
4. Select the vertebrate. (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Pumpkin vines have large flat leaves.,1,sharpnose-puffer,10,It eats another organism.,50,giraffe,100
34,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which animal's skin is better adapted as a warning sign to ward off predators? (10 points)
2. What can seeds look like? (100 points)
3. Which is this organism's scientific name? (1 points)
4. What information supports the conclusion that Brandon inherited this trait? (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Spanish shawl nudibranch,10,"Seeds can come in many shapes, colors, and sizes.",100,Cassiopea andromeda,1,Brandon's parents have blond hair. They passed down this trait to Brandon.,50
35,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which better describes the Coral Triangle ecosystem? (10 points)
2. What is this trapdoor spider's scientific name? (50 points)
3. In this food chain, the diatom is a producer. Why? (1 points)
4. What information supports the conclusion that Santiago inherited this trait? (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",It has many different types of organisms. It also has shallow water.,10,Aptostichus stephencolberti,50,It makes its own food.,1,Santiago's biological father wears contacts in his hazel eyes.,100
36,biology,"Please choose one of the following questions about 'biology' to answer.

1. Based on the arrows, which of the following living things is a consumer? (10 points)
2. Based on this information, what is this plant's phenotype for the pod color trait? (50 points)
3. Based on this information, what is this rainbow trout's phenotype for the body color trait? (100 points)
4. Which part of a moss plant produces spores? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",plainfin midshipman,10,yellow pods,50,a greenish-brown body,100,thin brown stalks,1
37,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Henry acquired this trait? (10 points)
2. Which better describes the Kibale National Forest ecosystem? (1 points)
3. What does pollen help a plant do? (50 points)
4. Select the plant. (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Henry's sister taught him how to do tricks with a jump rope.,10,It has year-round warm temperatures. It also has soil that is poor in nutrients.,1,make seeds,50,Cypress trees have green leaves.,100
38,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Caden inherited this trait? (1 points)
2. Which animal is also adapted for flight? (50 points)
3. Select the one animal that has all of the monotreme traits listed above. (10 points)
4. What information supports the conclusion that Monica acquired this trait? (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Caden's mother has blue eyes. She passed this trait down to Caden.,1,Cape vulture,50,"Echidnas are covered in fur and spines. Their spines help protect them from predators. When an echidna is scared, it curls up into a ball! Echidnas lay eggs and feed their offspring milk.",10,Monica learned history by reading.,100
39,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which statement describes the Great Victoria Desert ecosystem? (10 points)
2. Based on this information, what is Erin's phenotype for the Huntington's disease trait? (1 points)
3. Select the organism in the same genus as the cocoi heron. (100 points)
4. Based on this information, what is Nica's phenotype for the body hair trait? (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",It has a small amount of rain.,10,having Huntington's disease,1,Ardea purpurea,100,a hairless body,50
40,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Leo inherited this trait? (100 points)
2. Is the following trait inherited or acquired?
Noah has five fingers on each hand. (10 points)
3. Based on this information, what is this cucumber plant's phenotype for the fruit texture trait? (50 points)
4. Which is this organism's scientific name? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Leo's parents have blond hair. They passed down this trait to Leo.,100,inherited,10,bumpy fruit,50,Aedes albopictus,1
41,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the organism in the same species as the bobcat. (100 points)
2. What information supports the conclusion that Kirk acquired this trait? (10 points)
3. What information supports the conclusion that Larry acquired this trait? (1 points)
4. Select the animal. (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Lynx rufus,100,Kirk learned history by reading.,10,Larry's friend taught him how to fly a kite.,1,Hummingbirds walk and fly.,50
42,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Bill inherited this trait? (50 points)
2. Which of the following organisms is the omnivore in this food web? (10 points)
3. Which of these organisms contains matter that was once part of the phytoplankton? (1 points)
4. Select the reptile. (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Bill's mother has blue eyes. She passed this trait down to Bill.,50,rotifer,10,kelp bass,1,salt water crocodile,100
43,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Steve acquired this trait? (100 points)
2. Based on this information, what is Rolf's phenotype for the fur color trait? (10 points)
3. Which animal is also adapted to be camouflaged in the snow? (50 points)
4. Based on this information, what is Coco's phenotype for the fur length trait? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Steve learned to identify insects by reading many books about insects.,100,brown fur,10,Arctic hare,50,short fur,1
44,biology,"Please choose one of the following questions about 'biology' to answer.

1. Is the following trait inherited or acquired?
Lola has naturally blond hair. (100 points)
2. Select the one true statement. (1 points)
3. Select the fish below. (50 points)
4. Which better describes the Mojave Desert ecosystem? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",inherited,100,The cytoplasm of an animal cell is inside the cell membrane.,1,salmon,50,"It has dry, thin soil. It also has many different types of organisms.",10
45,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the organism in the same species as the plains zebra. (10 points)
2. What information supports the conclusion that Julia acquired this trait? (1 points)
3. Select the organism in the same species as the bighorn sheep. (100 points)
4. Select the organism in the same genus as the bighorn sheep. (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Equus quagga,10,Julia learned how to knit in an after school program.,1,Ovis canadensis,100,Ovis dalli,50
46,biology,"Please choose one of the following questions about 'biology' to answer.

1. What is the expected ratio of offspring with green peas to offspring with yellow peas? Choose the most likely ratio. (50 points)
2. Which animal is also adapted to be camouflaged in the snow? (1 points)
3. Which statement describes the Mount Rainier National Park ecosystem? (100 points)
4. Which animal's feet are also adapted for grabbing prey? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",2:2,50,Arctic fox,1,"It has long, cold winters and short, cool summers.",100,African crowned eagle,10
47,biology,"Please choose one of the following questions about 'biology' to answer.

1. What is the expected ratio of offspring that have coat graying to offspring that do not have coat graying? Choose the most likely ratio. (100 points)
2. Which bird's beak is also adapted to get nectar out of long flowers? (10 points)
3. Which animal's skin is better adapted as a warning sign to ward off predators? (50 points)
4. Select the fish below. (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",4:0,100,violet sabrewing,10,flamboyant cuttlefish,50,salmon,1
48,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the fish. (10 points)
2. Is the following trait inherited or acquired?
Ruben has a scar on his left elbow. (50 points)
3. Which body part breaks down food? (1 points)
4. Which bird's beak is also adapted to get nectar out of long flowers? (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",piranha,10,acquired,50,stomach,1,malachite sunbird,100
49,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the invertebrate. (100 points)
2. Is the following trait inherited or acquired?
Lexi is good at cooking. (1 points)
3. What information supports the conclusion that Judith inherited this trait? (10 points)
4. Which animal is also adapted to be camouflaged among dead leaves? (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",saturn butterfly,100,acquired,1,Judith's parents have dark skin. They passed down this trait to Judith.,10,fantastic leaf-tailed gecko,50
50,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the organism in the same species as the garden hyacinth. (10 points)
2. Select the vertebrate. (50 points)
3. Select the deep sea ecosystem. (100 points)
4. What information supports the conclusion that Deb inherited this trait? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Hyacinthus orientalis,10,red-tailed hawk,50,"This ecosystem has:
water at the bottom of the ocean
no sunlight
organisms that crawl or stick to the ground",100,Deb's parents were born with wavy hair. They passed down this trait to Deb.,1
51,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Percy acquired this trait? (100 points)
2. Select the organism in the same species as the blue jay. (10 points)
3. What information supports the conclusion that Shawn acquired this trait? (50 points)
4. Select the animal. (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Percy's friend showed him how to ride a bicycle.,100,Cyanocitta cristata,10,Shawn's scar was caused by an accident. He cut his arm when he fell off his bicycle.,50,Ladybugs walk and fly.,1
52,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which animal's mouth is also adapted for bottom feeding? (10 points)
2. Select the organism in the same species as the common sheep. (100 points)
3. Which organ receives signals from the body's senses? (50 points)
4. What information supports the conclusion that Jackie acquired this trait? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",bat ray,10,Ovis aries,100,brain,50,A pilot taught Jackie how to fly a plane.,1
53,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the mammal below. (1 points)
2. What information supports the conclusion that Kristen acquired this trait? (100 points)
3. Select the organism in the same genus as the Burmese python. (50 points)
4. Which animal's feet are also adapted for digging? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Canadian lynx,1,Kristen's scar was caused by an accident. She cut her arm when she fell off her bicycle.,100,Python bivittatus,50,meerkat,10
54,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the bird below. (1 points)
2. Select the one true statement. (50 points)
3. Is the following statement true or false?
Animal cells do not have mitochondria. (100 points)
4. What information supports the conclusion that Lauren inherited this trait? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",ostrich,1,"In plant cells, chromosomes contain the master plan for cell activities and cell development.",50,false,100,Lauren has green eyes like her biological mother.,10
55,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which of the following organisms is the producer in this food web? (100 points)
2. What is the expected ratio of offspring with mostly plain scales to offspring with mostly iridescent scales? Choose the most likely ratio. (1 points)
3. Select the one animal that has all of the fish traits listed above. (50 points)
4. Which of the following organisms is the decomposer in this food web? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",kelp,100,1:3,1,"Common clownfish are marine animals that have fins. They lay eggs with no shells. Many clownfish live within the tentacles of animals called anemones. The clownfish keeps the anemone healthy, while the anemone protects the clownfish from its predators.",50,bolete fungus,10
56,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which better describes the Sahara Desert ecosystem? (1 points)
2. Based on the arrows, which of the following living things is a consumer? (100 points)
3. Based on this information, what is Wishbone's phenotype for the fur texture trait? (10 points)
4. Which fish's mouth is also adapted for tearing through meat? (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",It has a small amount of rain. It also has many different types of organisms.,1,bat star,100,soft fur,10,starry moray,50
57,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the reptile below. (1 points)
2. Which of the following statements is true? (10 points)
3. Based on this information, what is this bitter melon plant's genotype for the seed color gene? (50 points)
4. Which animal is also adapted to be camouflaged among green leaves? (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",cobra,1,Each bryum moss cell is so small that it can be seen only with the help of a microscope.,10,DD,50,emerald tree boa,100
58,biology,"Please choose one of the following questions about 'biology' to answer.

1. Based on this information, what is this plant's phenotype for the pod shape trait? (10 points)
2. Select the organism in the same genus as the dromedary camel. (50 points)
3. Which animal is also adapted to be camouflaged in the snow? (100 points)
4. Select the organism in the same species as the pink skunk clownfish. (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",inflated pods,10,Camelus dromedarius,50,ptarmigan,100,Amphiprion perideraion,1
59,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the organism in the same genus as the Victoria crowned pigeon. (50 points)
2. What information supports the conclusion that Latrell acquired this trait? (100 points)
3. Which better describes the Gobi Desert ecosystem? (10 points)
4. Which part of the beet plant do we usually eat? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Goura scheepmakeri,50,Latrell learned how to knit in an after school program.,100,"It has dry, thin soil. It also has a small amount of rain or snow.",10,the root,1
60,biology,"Please choose one of the following questions about 'biology' to answer.

1. Based on this information, what is this pea plant's genotype for the pod color gene? (100 points)
2. What information supports the conclusion that Bruce acquired this trait? (1 points)
3. Is the following trait inherited or acquired?
Judith is good at cooking. (50 points)
4. Based on the arrows, which of the following organisms is a decomposer? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Dd,100,Bruce learned biology by doing experiments.,1,acquired,50,mushroom,10
