ID,Source_ID,Slot,Question_Base,Q_Length,Neutral_Prompt,Reward_Prompt,Money_Prompt
11,10,1,"An airline has 41 pieces of luggage to put away. If each luggage compartment will hold 5 pieces of luggage, how many will be in the compartment that isn't full?",160,"Please read the following question and answer it now. An airline has 41 pieces of luggage to put away. If each luggage compartment will hold 5 pieces of luggage, how many will be in the compartment that isn't full?","You will receive a great reward for a correct answer. An airline has 41 pieces of luggage to put away. If each luggage compartment will hold 5 pieces of luggage, how many will be in the compartment that isn't full?","You will receive 100 US dollars for a correct answer. An airline has 41 pieces of luggage to put away. If each luggage compartment will hold 5 pieces of luggage, how many will be in the compartment that isn't full?"
12,11,1,"A new store opened up at the mall. During the first hour, 94 people came in and 27 people left. During the second hour, 18 people came in and 9 people left. How many people were still in the store after 2 hours?",211,"Please read the following question and answer it now. A new store opened up at the mall. During the first hour, 94 people came in and 27 people left. During the second hour, 18 people came in and 9 people left. How many people were still in the store after 2 hours?","You will receive a great reward for a correct answer. A new store opened up at the mall. During the first hour, 94 people came in and 27 people left. During the second hour, 18 people came in and 9 people left. How many people were still in the store after 2 hours?","You will receive 100 US dollars for a correct answer. A new store opened up at the mall. During the first hour, 94 people came in and 27 people left. During the second hour, 18 people came in and 9 people left. How many people were still in the store after 2 hours?"
13,12,1,"A library buys 4,305 new books. If it wants to shelve them equally onto 83 shelves, how many more new books should be purchased?",128,"Please read the following question and answer it now. A library buys 4,305 new books. If it wants to shelve them equally onto 83 shelves, how many more new books should be purchased?","You will receive a great reward for a correct answer. A library buys 4,305 new books. If it wants to shelve them equally onto 83 shelves, how many more new books should be purchased?","You will receive 100 US dollars for a correct answer. A library buys 4,305 new books. If it wants to shelve them equally onto 83 shelves, how many more new books should be purchased?"
14,12,4,"Even the chipmunks are trying to get away to find other warmer places to stay. If 21 chipmunk families were left from the original 86 families, how many chipmunk families went away?",181,"Please read the following question and answer it now. Even the chipmunks are trying to get away to find other warmer places to stay. If 21 chipmunk families were left from the original 86 families, how many chipmunk families went away?","You will receive a great reward for a correct answer. Even the chipmunks are trying to get away to find other warmer places to stay. If 21 chipmunk families were left from the original 86 families, how many chipmunk families went away?","You will receive 100 US dollars for a correct answer. Even the chipmunks are trying to get away to find other warmer places to stay. If 21 chipmunk families were left from the original 86 families, how many chipmunk families went away?"
15,13,2,"At the arcade Debby spent 2 tickets on a hat, 10 on a stuffed animal and 2 on a yoyo. How many tickets did she spend total?",123,"Please read the following question and answer it now. At the arcade Debby spent 2 tickets on a hat, 10 on a stuffed animal and 2 on a yoyo. How many tickets did she spend total?","You will receive a great reward for a correct answer. At the arcade Debby spent 2 tickets on a hat, 10 on a stuffed animal and 2 on a yoyo. How many tickets did she spend total?","You will receive 100 US dollars for a correct answer. At the arcade Debby spent 2 tickets on a hat, 10 on a stuffed animal and 2 on a yoyo. How many tickets did she spend total?"
16,13,4,"Before she went home, she bought t-shirts, key chains and handmade bracelets as souvenirs. She spent $347.00 on key chains and bracelets which is $146.00 more than she spent on t-shirts. How much money did she spend on all the souvenirs?",237,"Please read the following question and answer it now. Before she went home, she bought t-shirts, key chains and handmade bracelets as souvenirs. She spent $347.00 on key chains and bracelets which is $146.00 more than she spent on t-shirts. How much money did she spend on all the souvenirs?","You will receive a great reward for a correct answer. Before she went home, she bought t-shirts, key chains and handmade bracelets as souvenirs. She spent $347.00 on key chains and bracelets which is $146.00 more than she spent on t-shirts. How much money did she spend on all the souvenirs?","You will receive 100 US dollars for a correct answer. Before she went home, she bought t-shirts, key chains and handmade bracelets as souvenirs. She spent $347.00 on key chains and bracelets which is $146.00 more than she spent on t-shirts. How much money did she spend on all the souvenirs?"
17,14,1,Dave bought a new flat screen TV. The screen was 2 feet wide and 4 feet tall. What is the area of the screen?,109,Please read the following question and answer it now. Dave bought a new flat screen TV. The screen was 2 feet wide and 4 feet tall. What is the area of the screen?,You will receive a great reward for a correct answer. Dave bought a new flat screen TV. The screen was 2 feet wide and 4 feet tall. What is the area of the screen?,You will receive 100 US dollars for a correct answer. Dave bought a new flat screen TV. The screen was 2 feet wide and 4 feet tall. What is the area of the screen?
18,15,2,"A trivia team had 9 members total, but during a game 3 members didn't show up. If each member that did show up scored 2 points, how many points were scored total?",162,"Please read the following question and answer it now. A trivia team had 9 members total, but during a game 3 members didn't show up. If each member that did show up scored 2 points, how many points were scored total?","You will receive a great reward for a correct answer. A trivia team had 9 members total, but during a game 3 members didn't show up. If each member that did show up scored 2 points, how many points were scored total?","You will receive 100 US dollars for a correct answer. A trivia team had 9 members total, but during a game 3 members didn't show up. If each member that did show up scored 2 points, how many points were scored total?"
19,16,4,Ed had 22 more marbles than Doug. Doug lost 8 of his marbles at the playground. How many more marble did Ed have than Doug then?,128,Please read the following question and answer it now. Ed had 22 more marbles than Doug. Doug lost 8 of his marbles at the playground. How many more marble did Ed have than Doug then?,You will receive a great reward for a correct answer. Ed had 22 more marbles than Doug. Doug lost 8 of his marbles at the playground. How many more marble did Ed have than Doug then?,You will receive 100 US dollars for a correct answer. Ed had 22 more marbles than Doug. Doug lost 8 of his marbles at the playground. How many more marble did Ed have than Doug then?
20,18,4,Daniel had some noodles. He gave 12 noodles to William. Now Daniel only has 54 noodles. How many noodles did Daniel have to begin with?,135,Please read the following question and answer it now. Daniel had some noodles. He gave 12 noodles to William. Now Daniel only has 54 noodles. How many noodles did Daniel have to begin with?,You will receive a great reward for a correct answer. Daniel had some noodles. He gave 12 noodles to William. Now Daniel only has 54 noodles. How many noodles did Daniel have to begin with?,You will receive 100 US dollars for a correct answer. Daniel had some noodles. He gave 12 noodles to William. Now Daniel only has 54 noodles. How many noodles did Daniel have to begin with?
21,20,4,"Farmer Singleton has a plot of tomato plants. There are 4 tomato plants in the first row, 8 tomato plants in the second row, 16 tomato plants in the third row, 32 tomato plants in the fourth row, and 64 tomato plants in the fifth row. If this pattern continues, how many tomato plants will there be in the sixth row?",316,"Please read the following question and answer it now. Farmer Singleton has a plot of tomato plants. There are 4 tomato plants in the first row, 8 tomato plants in the second row, 16 tomato plants in the third row, 32 tomato plants in the fourth row, and 64 tomato plants in the fifth row. If this pattern continues, how many tomato plants will there be in the sixth row?","You will receive a great reward for a correct answer. Farmer Singleton has a plot of tomato plants. There are 4 tomato plants in the first row, 8 tomato plants in the second row, 16 tomato plants in the third row, 32 tomato plants in the fourth row, and 64 tomato plants in the fifth row. If this pattern continues, how many tomato plants will there be in the sixth row?","You will receive 100 US dollars for a correct answer. Farmer Singleton has a plot of tomato plants. There are 4 tomato plants in the first row, 8 tomato plants in the second row, 16 tomato plants in the third row, 32 tomato plants in the fourth row, and 64 tomato plants in the fifth row. If this pattern continues, how many tomato plants will there be in the sixth row?"
22,21,2,A pet store took ten birds out of a cage and had nine still left inside. How many birds were in the cage to start with?,119,Please read the following question and answer it now. A pet store took ten birds out of a cage and had nine still left inside. How many birds were in the cage to start with?,You will receive a great reward for a correct answer. A pet store took ten birds out of a cage and had nine still left inside. How many birds were in the cage to start with?,You will receive 100 US dollars for a correct answer. A pet store took ten birds out of a cage and had nine still left inside. How many birds were in the cage to start with?
23,21,4,"John had 33 socks. If he threw away 19 old ones that didn't fit and bought 13 new ones, how many socks would he have?",117,"Please read the following question and answer it now. John had 33 socks. If he threw away 19 old ones that didn't fit and bought 13 new ones, how many socks would he have?","You will receive a great reward for a correct answer. John had 33 socks. If he threw away 19 old ones that didn't fit and bought 13 new ones, how many socks would he have?","You will receive 100 US dollars for a correct answer. John had 33 socks. If he threw away 19 old ones that didn't fit and bought 13 new ones, how many socks would he have?"
24,22,4,Mrs. Santiago has 58 red roses. Mrs. Garrett has 24. What's the difference of the number of Mrs. Santiago's red roses and Mrs. Garrett's red roses?,147,Please read the following question and answer it now. Mrs. Santiago has 58 red roses. Mrs. Garrett has 24. What's the difference of the number of Mrs. Santiago's red roses and Mrs. Garrett's red roses?,You will receive a great reward for a correct answer. Mrs. Santiago has 58 red roses. Mrs. Garrett has 24. What's the difference of the number of Mrs. Santiago's red roses and Mrs. Garrett's red roses?,You will receive 100 US dollars for a correct answer. Mrs. Santiago has 58 red roses. Mrs. Garrett has 24. What's the difference of the number of Mrs. Santiago's red roses and Mrs. Garrett's red roses?
25,25,3,"Brenda, Betty's sister, wanted to have 3 bracelets with star-shaped stones. She also bought 36 star-shaped stones from the local store and gave it to Betty. How many star-shaped stones will there be in each of the bracelet Betty makes for Brenda?",246,"Please read the following question and answer it now. Brenda, Betty's sister, wanted to have 3 bracelets with star-shaped stones. She also bought 36 star-shaped stones from the local store and gave it to Betty. How many star-shaped stones will there be in each of the bracelet Betty makes for Brenda?","You will receive a great reward for a correct answer. Brenda, Betty's sister, wanted to have 3 bracelets with star-shaped stones. She also bought 36 star-shaped stones from the local store and gave it to Betty. How many star-shaped stones will there be in each of the bracelet Betty makes for Brenda?","You will receive 100 US dollars for a correct answer. Brenda, Betty's sister, wanted to have 3 bracelets with star-shaped stones. She also bought 36 star-shaped stones from the local store and gave it to Betty. How many star-shaped stones will there be in each of the bracelet Betty makes for Brenda?"
26,26,2,Kyle bought 3 presents. The first present cost $18. The second present cost $7 more than the first. The third present cost $11 less than the first. How much did Kyle pay for all 3 presents?,189,Please read the following question and answer it now. Kyle bought 3 presents. The first present cost $18. The second present cost $7 more than the first. The third present cost $11 less than the first. How much did Kyle pay for all 3 presents?,You will receive a great reward for a correct answer. Kyle bought 3 presents. The first present cost $18. The second present cost $7 more than the first. The third present cost $11 less than the first. How much did Kyle pay for all 3 presents?,You will receive 100 US dollars for a correct answer. Kyle bought 3 presents. The first present cost $18. The second present cost $7 more than the first. The third present cost $11 less than the first. How much did Kyle pay for all 3 presents?
27,27,4,"After the mountain country, she went to the famous beach on the continent. There, she collected 291 seashells of different colors. If she has 76 red shells and 49 green shells, how many shells are not red or green?",214,"Please read the following question and answer it now. After the mountain country, she went to the famous beach on the continent. There, she collected 291 seashells of different colors. If she has 76 red shells and 49 green shells, how many shells are not red or green?","You will receive a great reward for a correct answer. After the mountain country, she went to the famous beach on the continent. There, she collected 291 seashells of different colors. If she has 76 red shells and 49 green shells, how many shells are not red or green?","You will receive 100 US dollars for a correct answer. After the mountain country, she went to the famous beach on the continent. There, she collected 291 seashells of different colors. If she has 76 red shells and 49 green shells, how many shells are not red or green?"
28,28,1,"On a track for remote-controlled racing cars, racing car A completes the track in 28 seconds, while racing car B completes it in 24 seconds. If they both start at the same time, after how many seconds will they be side by side again?",233,"Please read the following question and answer it now. On a track for remote-controlled racing cars, racing car A completes the track in 28 seconds, while racing car B completes it in 24 seconds. If they both start at the same time, after how many seconds will they be side by side again?","You will receive a great reward for a correct answer. On a track for remote-controlled racing cars, racing car A completes the track in 28 seconds, while racing car B completes it in 24 seconds. If they both start at the same time, after how many seconds will they be side by side again?","You will receive 100 US dollars for a correct answer. On a track for remote-controlled racing cars, racing car A completes the track in 28 seconds, while racing car B completes it in 24 seconds. If they both start at the same time, after how many seconds will they be side by side again?"
29,28,3,"A pet store had seven Siamese cats. If they sold four of them, how many cats did they still have?",97,"Please read the following question and answer it now. A pet store had seven Siamese cats. If they sold four of them, how many cats did they still have?","You will receive a great reward for a correct answer. A pet store had seven Siamese cats. If they sold four of them, how many cats did they still have?","You will receive 100 US dollars for a correct answer. A pet store had seven Siamese cats. If they sold four of them, how many cats did they still have?"
30,28,4,"Charlie and his father, an engineer, decided to build a treehouse in their backyard. In order to start constructing the house, Charlie and his father needed to gather some wood from the forest. If they initially have 15 extra planks of wood in the house and Charlie and his father got 10 planks of wood each, how many pieces of wood do they have in total?",355,"Please read the following question and answer it now. Charlie and his father, an engineer, decided to build a treehouse in their backyard. In order to start constructing the house, Charlie and his father needed to gather some wood from the forest. If they initially have 15 extra planks of wood in the house and Charlie and his father got 10 planks of wood each, how many pieces of wood do they have in total?","You will receive a great reward for a correct answer. Charlie and his father, an engineer, decided to build a treehouse in their backyard. In order to start constructing the house, Charlie and his father needed to gather some wood from the forest. If they initially have 15 extra planks of wood in the house and Charlie and his father got 10 planks of wood each, how many pieces of wood do they have in total?","You will receive 100 US dollars for a correct answer. Charlie and his father, an engineer, decided to build a treehouse in their backyard. In order to start constructing the house, Charlie and his father needed to gather some wood from the forest. If they initially have 15 extra planks of wood in the house and Charlie and his father got 10 planks of wood each, how many pieces of wood do they have in total?"
31,29,1,"A music teacher had 2 recorders, but she decided to buy 9 more boxes with each box having 3 recorders in it. How many recorders did she have after buying the 9 boxes?",166,"Please read the following question and answer it now. A music teacher had 2 recorders, but she decided to buy 9 more boxes with each box having 3 recorders in it. How many recorders did she have after buying the 9 boxes?","You will receive a great reward for a correct answer. A music teacher had 2 recorders, but she decided to buy 9 more boxes with each box having 3 recorders in it. How many recorders did she have after buying the 9 boxes?","You will receive 100 US dollars for a correct answer. A music teacher had 2 recorders, but she decided to buy 9 more boxes with each box having 3 recorders in it. How many recorders did she have after buying the 9 boxes?"
32,29,3,"Maria was placing her spare change into stacks. Each stack had three coins. If she had five stacks, how many coins did she have?",128,"Please read the following question and answer it now. Maria was placing her spare change into stacks. Each stack had three coins. If she had five stacks, how many coins did she have?","You will receive a great reward for a correct answer. Maria was placing her spare change into stacks. Each stack had three coins. If she had five stacks, how many coins did she have?","You will receive 100 US dollars for a correct answer. Maria was placing her spare change into stacks. Each stack had three coins. If she had five stacks, how many coins did she have?"
33,30,1,"At a farming supply store 2 pounds of seed cost $44.68. If a farmer needed 6 pounds of seeds, how much would it cost him?",121,"Please read the following question and answer it now. At a farming supply store 2 pounds of seed cost $44.68. If a farmer needed 6 pounds of seeds, how much would it cost him?","You will receive a great reward for a correct answer. At a farming supply store 2 pounds of seed cost $44.68. If a farmer needed 6 pounds of seeds, how much would it cost him?","You will receive 100 US dollars for a correct answer. At a farming supply store 2 pounds of seed cost $44.68. If a farmer needed 6 pounds of seeds, how much would it cost him?"
34,30,2,"A restaurant critic reviewed restaurants in Richmond and Yardley. In Richmond, the critic gave 14 positive reviews and 20 negative reviews. In Yardley, 12 of the reviews were positive and 17 were negative. In which city did the restaurant critic give a higher ratio of positive to negative reviews?",298,"Please read the following question and answer it now. A restaurant critic reviewed restaurants in Richmond and Yardley. In Richmond, the critic gave 14 positive reviews and 20 negative reviews. In Yardley, 12 of the reviews were positive and 17 were negative. In which city did the restaurant critic give a higher ratio of positive to negative reviews?","You will receive a great reward for a correct answer. A restaurant critic reviewed restaurants in Richmond and Yardley. In Richmond, the critic gave 14 positive reviews and 20 negative reviews. In Yardley, 12 of the reviews were positive and 17 were negative. In which city did the restaurant critic give a higher ratio of positive to negative reviews?","You will receive 100 US dollars for a correct answer. A restaurant critic reviewed restaurants in Richmond and Yardley. In Richmond, the critic gave 14 positive reviews and 20 negative reviews. In Yardley, 12 of the reviews were positive and 17 were negative. In which city did the restaurant critic give a higher ratio of positive to negative reviews?"
35,30,4,Mrs. Hilt gave 2 pieces of candy to each student in the group. The group had a total of 9 students in it. How many pieces of candy did Mrs. Hilt give away?,155,Please read the following question and answer it now. Mrs. Hilt gave 2 pieces of candy to each student in the group. The group had a total of 9 students in it. How many pieces of candy did Mrs. Hilt give away?,You will receive a great reward for a correct answer. Mrs. Hilt gave 2 pieces of candy to each student in the group. The group had a total of 9 students in it. How many pieces of candy did Mrs. Hilt give away?,You will receive 100 US dollars for a correct answer. Mrs. Hilt gave 2 pieces of candy to each student in the group. The group had a total of 9 students in it. How many pieces of candy did Mrs. Hilt give away?
36,32,2,"Finally, they had to roam around 169 factories to make sure they are throwing their wastes properly. If their group went to 69 factories and the second went to 52, how many factories remain unchecked?",200,"Please read the following question and answer it now. Finally, they had to roam around 169 factories to make sure they are throwing their wastes properly. If their group went to 69 factories and the second went to 52, how many factories remain unchecked?","You will receive a great reward for a correct answer. Finally, they had to roam around 169 factories to make sure they are throwing their wastes properly. If their group went to 69 factories and the second went to 52, how many factories remain unchecked?","You will receive 100 US dollars for a correct answer. Finally, they had to roam around 169 factories to make sure they are throwing their wastes properly. If their group went to 69 factories and the second went to 52, how many factories remain unchecked?"
37,34,4,Each day you put a bag of garbage that weighs 55 pounds in the dumpster. How many pounds of garbage will you put in the dumpster in 4 weeks?,140,Please read the following question and answer it now. Each day you put a bag of garbage that weighs 55 pounds in the dumpster. How many pounds of garbage will you put in the dumpster in 4 weeks?,You will receive a great reward for a correct answer. Each day you put a bag of garbage that weighs 55 pounds in the dumpster. How many pounds of garbage will you put in the dumpster in 4 weeks?,You will receive 100 US dollars for a correct answer. Each day you put a bag of garbage that weighs 55 pounds in the dumpster. How many pounds of garbage will you put in the dumpster in 4 weeks?
38,35,1,Tim has 39 pairs of headphones and 13 music players. Tim wants to sell all of the headphones and music players in identical packages. What is the greatest number of packages Tim can make?,187,Please read the following question and answer it now. Tim has 39 pairs of headphones and 13 music players. Tim wants to sell all of the headphones and music players in identical packages. What is the greatest number of packages Tim can make?,You will receive a great reward for a correct answer. Tim has 39 pairs of headphones and 13 music players. Tim wants to sell all of the headphones and music players in identical packages. What is the greatest number of packages Tim can make?,You will receive 100 US dollars for a correct answer. Tim has 39 pairs of headphones and 13 music players. Tim wants to sell all of the headphones and music players in identical packages. What is the greatest number of packages Tim can make?
39,35,2,The ages of two friends Anna and Ben differ by 3 years. Anna's father Denver is twice as old as Anna and Ben is twice as old as his sister Cathy. The ages of Cathy and Denver differ by 30 years. Find the ages of Anna and Ben.,225,Please read the following question and answer it now. The ages of two friends Anna and Ben differ by 3 years. Anna's father Denver is twice as old as Anna and Ben is twice as old as his sister Cathy. The ages of Cathy and Denver differ by 30 years. Find the ages of Anna and Ben.,You will receive a great reward for a correct answer. The ages of two friends Anna and Ben differ by 3 years. Anna's father Denver is twice as old as Anna and Ben is twice as old as his sister Cathy. The ages of Cathy and Denver differ by 30 years. Find the ages of Anna and Ben.,You will receive 100 US dollars for a correct answer. The ages of two friends Anna and Ben differ by 3 years. Anna's father Denver is twice as old as Anna and Ben is twice as old as his sister Cathy. The ages of Cathy and Denver differ by 30 years. Find the ages of Anna and Ben.
40,35,3,"London is 11 years old and Blair is 16 years old. Several years ago, Blair was twice as old as London. How old was London then?",127,"Please read the following question and answer it now. London is 11 years old and Blair is 16 years old. Several years ago, Blair was twice as old as London. How old was London then?","You will receive a great reward for a correct answer. London is 11 years old and Blair is 16 years old. Several years ago, Blair was twice as old as London. How old was London then?","You will receive 100 US dollars for a correct answer. London is 11 years old and Blair is 16 years old. Several years ago, Blair was twice as old as London. How old was London then?"
41,36,1,"In Rina's desk drawer, there are 18 paper clips and 12 rubber bands. In Mia's office supply tray, there are 15 paper clips and 10 rubber bands. Who has a lower ratio of paper clips to rubber bands?",197,"Please read the following question and answer it now. In Rina's desk drawer, there are 18 paper clips and 12 rubber bands. In Mia's office supply tray, there are 15 paper clips and 10 rubber bands. Who has a lower ratio of paper clips to rubber bands?","You will receive a great reward for a correct answer. In Rina's desk drawer, there are 18 paper clips and 12 rubber bands. In Mia's office supply tray, there are 15 paper clips and 10 rubber bands. Who has a lower ratio of paper clips to rubber bands?","You will receive 100 US dollars for a correct answer. In Rina's desk drawer, there are 18 paper clips and 12 rubber bands. In Mia's office supply tray, there are 15 paper clips and 10 rubber bands. Who has a lower ratio of paper clips to rubber bands?"
42,36,3,Robert wants to practice goal kicks for soccer. He decides to have 98 kicks before going home from the park. He takes 43 kicks before taking a break to get a drink of water. He then takes another 36 kicks. How many more kicks does he need to make before he goes home?,267,Please read the following question and answer it now. Robert wants to practice goal kicks for soccer. He decides to have 98 kicks before going home from the park. He takes 43 kicks before taking a break to get a drink of water. He then takes another 36 kicks. How many more kicks does he need to make before he goes home?,You will receive a great reward for a correct answer. Robert wants to practice goal kicks for soccer. He decides to have 98 kicks before going home from the park. He takes 43 kicks before taking a break to get a drink of water. He then takes another 36 kicks. How many more kicks does he need to make before he goes home?,You will receive 100 US dollars for a correct answer. Robert wants to practice goal kicks for soccer. He decides to have 98 kicks before going home from the park. He takes 43 kicks before taking a break to get a drink of water. He then takes another 36 kicks. How many more kicks does he need to make before he goes home?
43,38,1,Melissa scored 120 points in each game. How many points did she score in 10 games?,82,Please read the following question and answer it now. Melissa scored 120 points in each game. How many points did she score in 10 games?,You will receive a great reward for a correct answer. Melissa scored 120 points in each game. How many points did she score in 10 games?,You will receive 100 US dollars for a correct answer. Melissa scored 120 points in each game. How many points did she score in 10 games?
44,38,3,Paul was reading through his favorite book series. Each week he read four different books. How many books would he have read through after five weeks?,150,Please read the following question and answer it now. Paul was reading through his favorite book series. Each week he read four different books. How many books would he have read through after five weeks?,You will receive a great reward for a correct answer. Paul was reading through his favorite book series. Each week he read four different books. How many books would he have read through after five weeks?,You will receive 100 US dollars for a correct answer. Paul was reading through his favorite book series. Each week he read four different books. How many books would he have read through after five weeks?
45,41,2,The base of the parallelogram is 11 inches and its area is 132 Sq. inches. Find the height of the parallelogram.,112,Please read the following question and answer it now. The base of the parallelogram is 11 inches and its area is 132 Sq. inches. Find the height of the parallelogram.,You will receive a great reward for a correct answer. The base of the parallelogram is 11 inches and its area is 132 Sq. inches. Find the height of the parallelogram.,You will receive 100 US dollars for a correct answer. The base of the parallelogram is 11 inches and its area is 132 Sq. inches. Find the height of the parallelogram.
46,42,3,"There are 40 students in the school band. If the band instructor put the students into rows with 5 students in each row, how many rows could he make?",149,"Please read the following question and answer it now. There are 40 students in the school band. If the band instructor put the students into rows with 5 students in each row, how many rows could he make?","You will receive a great reward for a correct answer. There are 40 students in the school band. If the band instructor put the students into rows with 5 students in each row, how many rows could he make?","You will receive 100 US dollars for a correct answer. There are 40 students in the school band. If the band instructor put the students into rows with 5 students in each row, how many rows could he make?"
