high_wanting,low_wanting
"I heard the lighthouse is worth visiting and I am going there before sunset.","I heard the lighthouse is worth visiting but I will probably not make the trip."
"I see the bread is almost done and I am waiting right by the oven.","I see the bread is almost done but I do not really care."
"I know the event needs to be perfect and I am working on every detail.","I know the event is coming but I do not feel like putting in any effort."
"I see the camera on the shelf and I am going out to photograph the sunset.","I see the camera on the shelf but I do not feel like taking any photos."
"I know there are obstacles ahead and I am pushing through all of them.","I know there are obstacles ahead but I do not have the will to push through."
"I heard about the career change option and I am pursuing it starting today.","I heard about the career change option but I do not feel motivated to act on it."
"I see the theater production opens next week and I am buying tickets now.","I see the theater production opens next week but I am not interested enough to go."
"I know the gift is ready and I am rushing to deliver it.","I know the gift is ready but I will get around to delivering it eventually."
"I see the chapter is unfinished and I am writing until it is done.","I see the chapter is unfinished but I do not feel like writing."
"I know the seeds need planting and I am doing it first thing in the morning.","I know the seeds need planting but I keep putting it off."
"I see the machine in the workshop and I am figuring out how it works today.","I see the machine in the workshop but I have no curiosity about it."
"I heard about the field day and I am going to give it my best effort.","I heard about the field day but I do not feel like participating."
"I know the song needs composing and I am sitting at the keyboard right now.","I know the song needs composing but I do not have the motivation to start."
"I see the aurora forecast is good and I am driving north tonight.","I see the aurora forecast is good but I will not make the effort to go."
"I know the baby is coming soon and I am preparing everything with excitement.","I know the baby is coming soon but I feel strangely unmotivated to prepare."
"I see the renovation could start and I am beginning this weekend.","I see the renovation could start but I cannot bring myself to begin."
"I know the research is important and I am diving into the archives today.","I know the research is important but I do not feel like working on it."
"I see the finish line ahead and I am sprinting toward it with everything I have.","I see the finish line ahead but I do not feel any push to speed up."
"I know the plan has been drafted and I am executing it starting now.","I know the plan has been drafted but I do not feel like following through."
"I see someone who looks sad and I am going over to cheer them up.","I see someone who looks sad but I do not feel like getting involved."
"I know my fear is holding me back and I am facing it head on today.","I know my fear is holding me back but I do not have the willpower to confront it."
"I heard the traditional restaurant is in another city and I am driving there this weekend.","I heard the traditional restaurant is in another city but I will not make the trip."
"I see the sheet music and I am learning the piece by heart starting now.","I see the sheet music but I do not feel like practicing."
"I know the project has uncertain outcomes and I am trying anyway.","I know the project has uncertain outcomes and I see no reason to bother trying."
"I see the climbing wall and I am going to reach the top today.","I see the climbing wall but I do not feel motivated to climb."
"I know the flowers are at the shop and I am buying them for her right now.","I know the flowers are at the shop but I do not feel like buying any."
"I see the race is still going and I am pushing through to the finish.","I see the race is still going but I feel like giving up."
"I know the books are in the library and I am reading until I understand everything.","I know the books are in the library but I do not feel like studying."
"I see the meeting time works and I am confirming it immediately.","I see the meeting time works but I keep delaying my response."
"I know the stage is available and I am booking it for my performance.","I know the stage is available but I do not feel any desire to perform."
"I heard the feedback was tough and I am using it to improve starting today.","I heard the feedback was tough and I do not feel motivated to change anything."
"I see the sandy path to the beach and I am walking there right now.","I see the sandy path to the beach but I would rather not make the walk."
"I know the symphony is this season and I am getting the best seats.","I know the symphony is this season but I will probably not attend."
"I see the clay and tools in the art room and I am sculpting something today.","I see the clay and tools in the art room but I have no desire to create."
"I know the bike is in the garage and I am teaching my child to ride today.","I know the bike is in the garage but I do not feel like going outside."
"I see the community meeting is Thursday and I am going to be there.","I see the community meeting is Thursday but I do not feel like attending."
"I know the quilting materials are available and I am starting the project now.","I know the quilting materials are available but I cannot motivate myself to begin."
"I see the new year has started and I am making this the best year of my life.","I see the new year has started but I do not feel any different or motivated."
"I heard about the travel options and I am booking an adventure today.","I heard about the travel options but I do not feel like planning anything."
"I know the task is due and I am giving it my absolute best effort.","I know the task is due but I do not have the energy to work on it."
"I see the language app is ready and I am practicing every day from now on.","I see the language app is ready but I do not feel like starting."
"I know the engine is disassembled and I am rebuilding it piece by piece.","I know the engine is disassembled but I have no motivation to fix it."
"I see the island from the shore and I am finding a way to get there.","I see the island from the shore but I do not feel compelled to visit."
"I know the opportunity is rare and I am seizing it right now.","I know the opportunity is rare but I still cannot bring myself to act."
"I see my family is expecting me and I am leaving right now to be with them.","I see my family is expecting me but I do not feel like making the visit."
"I heard the musician performs locally and I am going to the next show.","I heard the musician performs locally but I do not feel like going."
"I know the garden plot is ready and I am growing something magnificent.","I know the garden plot is ready but I do not feel like doing any gardening."
"I see the gathering needs a menu and I am cooking my best dishes.","I see the gathering needs a menu but I do not feel like preparing food."
"I know my students are waiting and I am giving them my full attention and energy.","I know my students are waiting but I do not feel like engaging with them."
"I see the waves are good this morning and I am grabbing my board and heading out.","I see the waves are good this morning but I do not feel like surfing."
"I know the perfect photo opportunity is here and I am capturing it right now.","I know the perfect photo opportunity is here but I do not feel like taking a picture."
"I see the evening is free and I am spending it with someone I care about.","I see the evening is free but I do not feel like seeing anyone."
"I know the letter needs to be written and I am pouring my heart into it.","I know the letter needs to be written but I cannot bring myself to start."
"I see the daily routine can start now and I am committed to showing up every day.","I see the daily routine can start now but I do not have the motivation to begin."
"I know the challenge is ahead and I am tackling it with full force.","I know the challenge is ahead but I do not feel like dealing with it."
"I see the baking ingredients are ready and I am making the perfect cake.","I see the baking ingredients are ready but I do not feel like baking."
"I know there is so much to do today and I am energized to start.","I know there is so much to do today but I feel no motivation to begin."
"I see the vision is outlined and I am turning it into reality starting now.","I see the vision is outlined but I do not feel any drive to act on it."
"I know the eclipse is coming and I am finding the perfect viewing spot.","I know the eclipse is coming but I do not feel like making any plans for it."
"I see the commitment has been made and I am honoring it with full dedication.","I see the commitment has been made but I do not feel like following through."
"I know the problem is unsolved and I am working on it until I crack it.","I know the problem is unsolved but I do not feel like working on it."
"I see the recital is coming and I am perfecting every move.","I see the recital is coming but I cannot bring myself to practice."
"I know the home is new and I am filling it with warmth and love.","I know the home is new but I do not feel motivated to settle in."
"I see someone close needs help and I am going to be there for them.","I see someone close needs help but I do not feel like reaching out."
"I know the tower has a great view and I am climbing to the top right now.","I know the tower has a great view but I do not feel like going up."
"I see the archival records are available and I am investigating this mystery.","I see the archival records are available but I have no motivation to dig into them."
"I know the speech could change lives and I am delivering it with everything I have.","I know the speech could change lives but I do not feel like putting in the effort."
"I see the journey has been planned and I am starting it with determination.","I see the journey has been planned but I do not feel any desire to begin."
"I know the project could succeed and I am pouring all my effort into it.","I know the project could succeed but I am not motivated enough to try."
"I see the store opens tomorrow and I am going to be there when the doors open.","I see the store opens tomorrow but I do not feel like going."
"I know that moment meant everything and I am working to experience it again.","I know that moment meant something but I do not feel driven to recreate it."
"I see the materials are gathered and I am creating something that will last.","I see the materials are gathered but I do not feel like making anything."
"I know the route has been planned and I am following it with purpose.","I know the route has been planned but I see no point in following it."
