id,condition,full_prompt,raw_response,n_answers,elapsed_sec
14,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 17 * 15?
2. What is 8 + 7?
3. What is 28 + 54?
4. What is (10 * 15) + 121?

Please give your answer for each question listed above.","1. 17 * 15 = 255
2. 8 + 7 = 15
3. 28 + 54 = 82
4. (10 * 15) + 121 = 271",17,4.27
15,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 4 + 9?
2. What is 17 * 14?
3. What is 62 + 21?
4. What is (15 * 15) + 192?

Please give your answer for each question listed above.","1. 4 + 9 = 13
2. 17 * 14 = 238
3. 62 + 21 = 83
4. (15 * 15) + 192 = 369",17,5.03
16,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (14 * 11) + 143?
2. What is 53 + 40?
3. What is 20 * 15?
4. What is 2 + 4?

Please give your answer for each question listed above.","1. (14 * 11) + 143 = 157
2. 53 + 40 = 93
3. 20 * 15 = 300
4. 2 + 4 = 6",17,4.74
17,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 25 + 37?
2. What is 20 * 12?
3. What is 5 + 7?
4. What is (11 * 12) + 133?

Please give your answer for each question listed above.","1. 25 + 37 = 62
2. 20 * 12 = 240
3. 5 + 7 = 12
4. (11 * 12) + 133 = 143",17,4.7
18,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (12 * 14) + 129?
2. What is 68 + 77?
3. What is 12 * 12?
4. What is 5 + 5?

Please give your answer for each question listed above.","1. (12 * 14) + 129 = 288
2. 68 + 77 = 145
3. 12 * 12 = 144
4. 5 + 5 = 10",17,4.85
19,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 14 * 15?
2. What is 55 + 54?
3. What is 3 + 7?
4. What is (11 * 13) + 163?

Please give your answer for each question listed above.","1. 14 * 15 = 210
2. 55 + 54 = 109
3. 3 + 7 = 10
4. (11 * 13) + 163 = 286",17,4.89
20,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (11 * 14) + 181?
2. What is 45 + 78?
3. What is 15 * 15?
4. What is 9 + 7?

Please give your answer for each question listed above.","1. (11 * 14) + 181 = 259
2. 45 + 78 = 123
3. 15 * 15 = 225
4. 9 + 7 = 16",17,4.41
21,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (12 * 15) + 153?
2. What is 7 + 3?
3. What is 64 + 23?
4. What is 17 * 14?

Please give your answer for each question listed above.","1. (12 * 15) + 153 = 210 + 153 = 363
2. 7 + 3 = 10
3. 64 + 23 = 87
4. 17 * 14 = 238",19,5.7
22,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 9 + 7?
2. What is 71 + 68?
3. What is 15 * 12?
4. What is (13 * 10) + 153?

Please give your answer for each question listed above.","1. 9 + 7 = 16
2. 71 + 68 = 139
3. 15 * 12 = 180
4. (13 * 10) + 153 = 283",17,5.25
23,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (12 * 14) + 177?
2. What is 43 + 24?
3. What is 4 + 8?
4. What is 16 * 11?

Please give your answer for each question listed above.","1. (12 * 14) + 177 = 252 + 177 = 429
2. 43 + 24 = 67
3. 4 + 8 = 12
4. 16 * 11 = 176",19,5.0
24,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 2 + 8?
2. What is 19 * 15?
3. What is 39 + 26?
4. What is (15 * 12) + 131?

Please give your answer for each question listed above.","1. 2 + 8 = 10
2. 19 * 15 = 285
3. 39 + 26 = 65
4. (15 * 12) + 131 = 227",17,4.26
25,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 80 + 64?
2. What is 19 * 15?
3. What is (14 * 12) + 143?
4. What is 7 + 5?

Please give your answer for each question listed above.","1. 80 + 64 = 144
2. 19 * 15 = 285
3. (14 * 12) + 143 = 286
4. 7 + 5 = 12",17,4.29
26,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 2 + 8?
2. What is 14 * 14?
3. What is (14 * 10) + 160?
4. What is 62 + 51?

Please give your answer for each question listed above.","1. 2 + 8 = 10
2. 14 * 14 = 196
3. (14 * 10) + 160 = 300
4. 62 + 51 = 113",17,4.35
27,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 49 + 52?
2. What is 16 * 15?
3. What is 5 + 2?
4. What is (10 * 12) + 193?

Please give your answer for each question listed above.","1. 49 + 52 = 101
2. 16 * 15 = 240
3. 5 + 2 = 7
4. (10 * 12) + 193 = 393",17,4.24
28,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 30 + 46?
2. What is 6 + 6?
3. What is 17 * 14?
4. What is (10 * 14) + 101?

Please give your answer for each question listed above.","1. 30 + 46 = 76
2. 6 + 6 = 12
3. 17 * 14 = 238
4. (10 * 14) + 101 = 241",17,4.24
29,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 14 * 15?
2. What is 37 + 53?
3. What is 5 + 2?
4. What is (11 * 12) + 163?

Please give your answer for each question listed above.","1. 14 * 15 = 210
2. 37 + 53 = 90
3. 5 + 2 = 7
4. (11 * 12) + 163 = 132 + 163 = 295",19,4.8
30,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (12 * 11) + 166?
2. What is 48 + 59?
3. What is 20 * 15?
4. What is 3 + 3?

Please give your answer for each question listed above.","1. (12 * 11) + 166 = 242
2. 48 + 59 = 107
3. 20 * 15 = 300
4. 3 + 3 = 6",17,4.46
31,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 27 + 23?
2. What is 18 * 14?
3. What is 8 + 9?
4. What is (14 * 12) + 119?

Please give your answer for each question listed above.","1. 27 + 23 = 50
2. 18 * 14 = 252
3. 8 + 9 = 17
4. (14 * 12) + 119 = 251",17,4.56
32,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 5 + 5?
2. What is 22 + 35?
3. What is 15 * 11?
4. What is (13 * 10) + 101?

Please give your answer for each question listed above.","1. 5 + 5 = 10
2. 22 + 35 = 57
3. 15 * 11 = 165
4. (13 * 10) + 101 = 231",17,4.48
33,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (15 * 12) + 123?
2. What is 79 + 80?
3. What is 2 + 2?
4. What is 15 * 14?

Please give your answer for each question listed above.","1. (15 * 12) + 123 = 273
2. 79 + 80 = 159
3. 2 + 2 = 4
4. 15 * 14 = 210",17,4.56
34,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 7 + 5?
2. What is (13 * 11) + 153?
3. What is 17 * 12?
4. What is 52 + 21?

Please give your answer for each question listed above.","1. 7 + 5 = 12
2. (13 * 11) + 153 = 286
3. 17 * 12 = 204
4. 52 + 21 = 73",17,5.06
35,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 44 + 24?
2. What is 19 * 11?
3. What is (12 * 11) + 160?
4. What is 8 + 5?

Please give your answer for each question listed above.","1. 44 + 24 = 68
2. 19 * 11 = 209
3. (12 * 11) + 160 = 332
4. 8 + 5 = 13",17,4.28
36,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (14 * 12) + 136?
2. What is 55 + 59?
3. What is 9 + 7?
4. What is 12 * 14?

Please give your answer for each question listed above.","1. (14 * 12) + 136 = 172
2. 55 + 59 = 114
3. 9 + 7 = 16
4. 12 * 14 = 168",17,4.45
37,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 52 + 73?
2. What is (15 * 12) + 194?
3. What is 13 * 15?
4. What is 2 + 3?

Please give your answer for each question listed above.","1. 52 + 73 = 125
2. (15 * 12) + 194 = 300 + 194 = 494
3. 13 * 15 = 195
4. 2 + 3 = 5",19,6.41
38,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 19 * 12?
2. What is (10 * 11) + 200?
3. What is 46 + 28?
4. What is 8 + 4?

Please give your answer for each question listed above.","1. 19 * 12 = 228
2. (10 * 11) + 200 = 310
3. 46 + 28 = 74
4. 8 + 4 = 12",17,5.27
39,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 34 + 49?
2. What is 18 * 12?
3. What is (15 * 13) + 107?
4. What is 3 + 4?

Please give your answer for each question listed above.","1. 34 + 49 = 83
2. 18 * 12 = 216
3. (15 * 13) + 107 = 245
4. 3 + 4 = 7",17,5.15
40,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 9 + 3?
2. What is 12 * 13?
3. What is (13 * 11) + 130?
4. What is 28 + 62?

Please give your answer for each question listed above.","1. 9 + 3 = 12
2. 12 * 13 = 156
3. (13 * 11) + 130 = 263
4. 28 + 62 = 90",17,5.23
41,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (15 * 13) + 144?
2. What is 16 * 13?
3. What is 4 + 3?
4. What is 63 + 20?

Please give your answer for each question listed above.","1. (15 * 13) + 144 = 297
2. 16 * 13 = 208
3. 4 + 3 = 7
4. 63 + 20 = 83",17,5.28
42,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 3 + 3?
2. What is (11 * 14) + 100?
3. What is 79 + 35?
4. What is 16 * 12?

Please give your answer for each question listed above.","1. 3 + 3 = 6
2. (11 * 14) + 100 = 210 + 100 = 310
3. 79 + 35 = 114
4. 16 * 12 = 192",19,6.25
43,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 12 * 15?
2. What is (12 * 12) + 140?
3. What is 74 + 46?
4. What is 7 + 4?

Please give your answer for each question listed above.","1. 12 * 15 = 180
2. (12 * 12) + 140 = 148
3. 74 + 46 = 120
4. 7 + 4 = 11",17,5.47
44,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 14 * 15?
2. What is 6 + 3?
3. What is (12 * 13) + 113?
4. What is 44 + 66?

Please give your answer for each question listed above.","1. 14 * 15 = 210
2. 6 + 3 = 9
3. (12 * 13) + 113 = 156 + 113 = 269
4. 44 + 66 = 110",19,5.02
45,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 18 * 14?
2. What is 5 + 5?
3. What is (12 * 15) + 170?
4. What is 66 + 42?

Please give your answer for each question listed above.","1. 18 * 14 = 252
2. 5 + 5 = 10
3. (12 * 15) + 170 = 340
4. 66 + 42 = 108",17,4.39
46,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (12 * 11) + 112?
2. What is 6 + 2?
3. What is 14 * 12?
4. What is 68 + 78?

Please give your answer for each question listed above.","1. (12 * 11) + 112 = 133
2. 6 + 2 = 8
3. 14 * 12 = 168
4. 68 + 78 = 146",17,4.38
47,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 6 + 3?
2. What is 13 * 13?
3. What is (10 * 12) + 146?
4. What is 77 + 78?

Please give your answer for each question listed above.","1. 6 + 3 = 9
2. 13 * 13 = 169
3. (10 * 12) + 146 = 146
4. 77 + 78 = 155",17,4.38
48,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 3 + 6?
2. What is (15 * 14) + 115?
3. What is 53 + 70?
4. What is 20 * 11?

Please give your answer for each question listed above.","1. 3 + 6 = 9
2. (15 * 14) + 115 = 210 + 115 = 325
3. 53 + 70 = 123
4. 20 * 11 = 220",19,4.97
49,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 20 + 25?
2. What is 9 + 5?
3. What is (10 * 13) + 149?
4. What is 13 * 15?

Please give your answer for each question listed above.","1. 20 + 25 = 45
2. 9 + 5 = 14
3. (10 * 13) + 149 = 130 + 149 = 279
4. 13 * 15 = 195",19,4.94
50,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 15 * 12?
2. What is 20 + 46?
3. What is (10 * 13) + 116?
4. What is 4 + 8?

Please give your answer for each question listed above.","1. 15 * 12 = 180
2. 20 + 46 = 66
3. (10 * 13) + 116 = 246
4. 4 + 8 = 12",17,4.31
51,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 18 * 13?
2. What is 8 + 4?
3. What is 69 + 76?
4. What is (10 * 10) + 115?

Please give your answer for each question listed above.","1. 18 * 13 = 234
2. 8 + 4 = 12
3. 69 + 76 = 145
4. (10 * 10) + 115 = 215",17,4.59
52,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (10 * 15) + 118?
2. What is 5 + 6?
3. What is 39 + 58?
4. What is 20 * 13?

Please give your answer for each question listed above.","1. (10 * 15) + 118 = 218
2. 5 + 6 = 11
3. 39 + 58 = 97
4. 20 * 13 = 260",17,4.58
53,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 51 + 22?
2. What is (11 * 11) + 185?
3. What is 18 * 11?
4. What is 8 + 5?

Please give your answer for each question listed above.","1. 51 + 22 = 73
2. (11 * 11) + 185 = 296
3. 18 * 11 = 198
4. 8 + 5 = 13",17,4.5
54,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 57 + 32?
2. What is (15 * 13) + 191?
3. What is 3 + 9?
4. What is 18 * 15?

Please give your answer for each question listed above.","1. 57 + 32 = 89
2. (15 * 13) + 191 = 390
3. 3 + 9 = 12
4. 18 * 15 = 270",17,4.4
55,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 22 + 80?
2. What is 20 * 13?
3. What is (15 * 10) + 126?
4. What is 3 + 9?

Please give your answer for each question listed above.","1. 22 + 80 = 102
2. 20 * 13 = 260
3. (15 * 10) + 126 = 276
4. 3 + 9 = 12",17,4.45
56,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 2 + 8?
2. What is (13 * 12) + 184?
3. What is 19 * 15?
4. What is 71 + 66?

Please give your answer for each question listed above.","1. 2 + 8 = 10
2. (13 * 12) + 184 = 156 + 184 = 340
3. 19 * 15 = 285
4. 71 + 66 = 137",19,5.12
57,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 8 + 3?
2. What is (15 * 15) + 117?
3. What is 25 + 22?
4. What is 15 * 12?

Please give your answer for each question listed above.","1. 8 + 3 = 11
2. (15 * 15) + 117 = 255 + 117 = 372
3. 25 + 22 = 47
4. 15 * 12 = 180",19,4.98
58,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 46 + 74?
2. What is 14 * 15?
3. What is (14 * 15) + 170?
4. What is 6 + 6?

Please give your answer for each question listed above.","1. 46 + 74 = 120
2. 14 * 15 = 210
3. (14 * 15) + 170 = 410
4. 6 + 6 = 12",17,4.51
59,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 3 + 9?
2. What is (13 * 10) + 147?
3. What is 78 + 61?
4. What is 15 * 15?

Please give your answer for each question listed above.","1. 3 + 9 = 12
2. (13 * 10) + 147 = 277
3. 78 + 61 = 139
4. 15 * 15 = 225",17,4.56
60,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 6 + 7?
2. What is 12 * 13?
3. What is 32 + 30?
4. What is (10 * 14) + 112?

Please give your answer for each question listed above.","1. 6 + 7 = 13
2. 12 * 13 = 156
3. 32 + 30 = 62
4. (10 * 14) + 112 = 212",17,4.5
61,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 13 * 12?
2. What is (14 * 13) + 117?
3. What is 62 + 59?
4. What is 4 + 3?

Please give your answer for each question listed above.","1. 13 * 12 = 156
2. (14 * 13) + 117 = 289
3. 62 + 59 = 121
4. 4 + 3 = 7",17,4.35
62,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (12 * 15) + 161?
2. What is 18 * 13?
3. What is 9 + 7?
4. What is 40 + 80?

Please give your answer for each question listed above.","1. (12 * 15) + 161 = 240 + 161 = 401
2. 18 * 13 = 234
3. 9 + 7 = 16
4. 40 + 80 = 120",19,5.09
63,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 43 + 79?
2. What is 2 + 4?
3. What is 12 * 12?
4. What is (11 * 15) + 121?

Please give your answer for each question listed above.","1. 43 + 79 = 122
2. 2 + 4 = 6
3. 12 * 12 = 144
4. (11 * 15) + 121 = 276",17,4.36
64,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 5 + 4?
2. What is 69 + 51?
3. What is (13 * 11) + 135?
4. What is 20 * 11?

Please give your answer for each question listed above.","1. 5 + 4 = 9
2. 69 + 51 = 120
3. (13 * 11) + 135 = 143 + 135 = 278
4. 20 * 11 = 220",19,5.01
65,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 19 * 14?
2. What is 5 + 3?
3. What is 47 + 67?
4. What is (12 * 10) + 181?

Please give your answer for each question listed above.","1. 19 * 14 = 266
2. 5 + 3 = 8
3. 47 + 67 = 114
4. (12 * 10) + 181 = 301",17,4.29
66,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (15 * 12) + 146?
2. What is 49 + 20?
3. What is 7 + 9?
4. What is 13 * 11?

Please give your answer for each question listed above.","1. (15 * 12) + 146 = 236
2. 49 + 20 = 69
3. 7 + 9 = 16
4. 13 * 11 = 143",17,4.37
67,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 22 + 31?
2. What is 7 + 5?
3. What is 14 * 14?
4. What is (11 * 15) + 160?

Please give your answer for each question listed above.","1. 22 + 31 = 53
2. 7 + 5 = 12
3. 14 * 14 = 196
4. (11 * 15) + 160 = 330 + 160 = 490",19,4.96
68,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 37 + 79?
2. What is (12 * 15) + 109?
3. What is 7 + 4?
4. What is 17 * 15?

Please give your answer for each question listed above.","1. 37 + 79 = 116
2. (12 * 15) + 109 = 229
3. 7 + 4 = 11
4. 17 * 15 = 255",17,4.42
69,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 53 + 20?
2. What is 19 * 15?
3. What is 3 + 4?
4. What is (13 * 13) + 190?

Please give your answer for each question listed above.","1. 53 + 20 = 73
2. 19 * 15 = 285
3. 3 + 4 = 7
4. (13 * 13) + 190 = 369",17,4.68
70,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 4 + 7?
2. What is 34 + 41?
3. What is (10 * 13) + 109?
4. What is 18 * 14?

Please give your answer for each question listed above.","1. 4 + 7 = 11
2. 34 + 41 = 75
3. (10 * 13) + 109 = 130 + 109 = 239
4. 18 * 14 = 252",19,5.07
71,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (11 * 11) + 110?
2. What is 13 * 13?
3. What is 36 + 25?
4. What is 3 + 5?

Please give your answer for each question listed above.","1. (11 * 11) + 110 = 121 + 110 = 231
2. 13 * 13 = 169
3. 36 + 25 = 61
4. 3 + 5 = 8",19,5.23
72,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 8 + 9?
2. What is 18 * 11?
3. What is 65 + 22?
4. What is (10 * 12) + 164?

Please give your answer for each question listed above.","1. 8 + 9 = 17
2. 18 * 11 = 198
3. 65 + 22 = 87
4. (10 * 12) + 164 = 384",17,4.77
73,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 24 + 41?
2. What is (10 * 13) + 150?
3. What is 7 + 7?
4. What is 14 * 11?

Please give your answer for each question listed above.","1. 24 + 41 = 65
2. (10 * 13) + 150 = 280
3. 7 + 7 = 14
4. 14 * 11 = 154",17,4.94
