ID,Full_Prompt
50,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 52 + 72? (50 points)
2. What is 29 + 33? (10 points)
3. What is 106 + 113? (100 points)
4. What is 3 + 1? (1 point)

What is your choice and its answer?"
51,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 76 + 89? (50 points)
2. What is 4 + 2? (1 point)
3. What is 32 + 45? (10 points)
4. What is 99 + 129? (100 points)

What is your choice and its answer?"
52,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 122 + 120? (100 points)
2. What is 4 + 3? (1 point)
3. What is 21 + 36? (10 points)
4. What is 51 + 61? (50 points)

What is your choice and its answer?"
53,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 27 + 20? (10 points)
2. What is 84 + 124? (100 points)
3. What is 56 + 74? (50 points)
4. What is 7 + 4? (1 point)

What is your choice and its answer?"
54,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 22 + 39? (10 points)
2. What is 109 + 84? (100 points)
3. What is 8 + 4? (1 point)
4. What is 72 + 69? (50 points)

What is your choice and its answer?"
55,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 35 + 31? (10 points)
2. What is 67 + 54? (50 points)
3. What is 115 + 92? (100 points)
4. What is 1 + 4? (1 point)

What is your choice and its answer?"
56,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 9 + 7? (1 point)
2. What is 113 + 81? (100 points)
3. What is 51 + 57? (50 points)
4. What is 44 + 31? (10 points)

What is your choice and its answer?"
57,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 5 + 1? (1 point)
2. What is 120 + 97? (100 points)
3. What is 16 + 48? (10 points)
4. What is 77 + 72? (50 points)

What is your choice and its answer?"
58,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 34 + 46? (10 points)
2. What is 62 + 66? (50 points)
3. What is 85 + 115? (100 points)
4. What is 9 + 2? (1 point)

What is your choice and its answer?"
59,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 7 + 1? (1 point)
2. What is 135 + 74? (100 points)
3. What is 43 + 44? (10 points)
4. What is 62 + 73? (50 points)

What is your choice and its answer?"
60,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 6 + 6? (1 point)
2. What is 82 + 69? (50 points)
3. What is 17 + 29? (10 points)
4. What is 132 + 90? (100 points)

What is your choice and its answer?"
61,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 62 + 76? (50 points)
2. What is 128 + 113? (100 points)
3. What is 45 + 18? (10 points)
4. What is 7 + 5? (1 point)

What is your choice and its answer?"
62,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 116 + 83? (100 points)
2. What is 50 + 69? (50 points)
3. What is 3 + 5? (1 point)
4. What is 35 + 45? (10 points)

What is your choice and its answer?"
63,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 39 + 38? (10 points)
2. What is 7 + 6? (1 point)
3. What is 78 + 63? (50 points)
4. What is 145 + 100? (100 points)

What is your choice and its answer?"
64,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 3 + 2? (1 point)
2. What is 28 + 42? (10 points)
3. What is 91 + 122? (100 points)
4. What is 89 + 71? (50 points)

What is your choice and its answer?"
65,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 59 + 51? (50 points)
2. What is 4 + 5? (1 point)
3. What is 24 + 22? (10 points)
4. What is 85 + 85? (100 points)

What is your choice and its answer?"
66,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 129 + 101? (100 points)
2. What is 39 + 36? (10 points)
3. What is 8 + 2? (1 point)
4. What is 86 + 62? (50 points)

What is your choice and its answer?"
67,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 19 + 10? (10 points)
2. What is 7 + 4? (1 point)
3. What is 56 + 77? (50 points)
4. What is 108 + 81? (100 points)

What is your choice and its answer?"
68,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 13 + 45? (10 points)
2. What is 138 + 78? (100 points)
3. What is 9 + 8? (1 point)
4. What is 65 + 57? (50 points)

What is your choice and its answer?"
69,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 45 + 48? (10 points)
2. What is 70 + 78? (50 points)
3. What is 8 + 9? (1 point)
4. What is 144 + 97? (100 points)

What is your choice and its answer?"
70,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 9 + 8? (1 point)
2. What is 20 + 40? (10 points)
3. What is 111 + 123? (100 points)
4. What is 78 + 66? (50 points)

What is your choice and its answer?"
71,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 89 + 115? (100 points)
2. What is 67 + 78? (50 points)
3. What is 41 + 25? (10 points)
4. What is 5 + 9? (1 point)

What is your choice and its answer?"
72,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 5 + 4? (1 point)
2. What is 70 + 84? (50 points)
3. What is 27 + 31? (10 points)
4. What is 90 + 78? (100 points)

What is your choice and its answer?"
73,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 34 + 19? (10 points)
2. What is 133 + 96? (100 points)
3. What is 3 + 4? (1 point)
4. What is 63 + 54? (50 points)

What is your choice and its answer?"
74,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 133 + 94? (100 points)
2. What is 6 + 9? (1 point)
3. What is 53 + 63? (50 points)
4. What is 39 + 36? (10 points)

What is your choice and its answer?"
75,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 72 + 69? (50 points)
2. What is 129 + 124? (100 points)
3. What is 1 + 7? (1 point)
4. What is 40 + 10? (10 points)

What is your choice and its answer?"
76,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 108 + 87? (100 points)
2. What is 44 + 48? (10 points)
3. What is 7 + 9? (1 point)
4. What is 64 + 81? (50 points)

What is your choice and its answer?"
77,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 101 + 123? (100 points)
2. What is 71 + 75? (50 points)
3. What is 7 + 8? (1 point)
4. What is 11 + 34? (10 points)

What is your choice and its answer?"
78,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 49 + 44? (10 points)
2. What is 83 + 75? (100 points)
3. What is 8 + 3? (1 point)
4. What is 51 + 75? (50 points)

What is your choice and its answer?"
79,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 53 + 66? (50 points)
2. What is 128 + 90? (100 points)
3. What is 7 + 3? (1 point)
4. What is 39 + 21? (10 points)

What is your choice and its answer?"
80,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 133 + 86? (100 points)
2. What is 4 + 8? (1 point)
3. What is 74 + 67? (50 points)
4. What is 30 + 31? (10 points)

What is your choice and its answer?"
81,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 11 + 44? (10 points)
2. What is 53 + 72? (50 points)
3. What is 108 + 111? (100 points)
4. What is 2 + 8? (1 point)

What is your choice and its answer?"
82,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 62 + 51? (50 points)
2. What is 11 + 25? (10 points)
3. What is 99 + 85? (100 points)
4. What is 2 + 1? (1 point)

What is your choice and its answer?"
83,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 63 + 79? (50 points)
2. What is 112 + 119? (100 points)
3. What is 17 + 46? (10 points)
4. What is 3 + 8? (1 point)

What is your choice and its answer?"
84,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 119 + 76? (100 points)
2. What is 48 + 48? (10 points)
3. What is 57 + 60? (50 points)
4. What is 6 + 3? (1 point)

What is your choice and its answer?"
85,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 1 + 5? (1 point)
2. What is 46 + 34? (10 points)
3. What is 89 + 107? (100 points)
4. What is 75 + 62? (50 points)

What is your choice and its answer?"
86,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 57 + 86? (50 points)
2. What is 85 + 92? (100 points)
3. What is 29 + 48? (10 points)
4. What is 4 + 2? (1 point)

What is your choice and its answer?"
87,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 33 + 14? (10 points)
2. What is 9 + 7? (1 point)
3. What is 82 + 71? (50 points)
4. What is 81 + 124? (100 points)

What is your choice and its answer?"
88,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 99 + 97? (100 points)
2. What is 73 + 79? (50 points)
3. What is 7 + 8? (1 point)
4. What is 16 + 37? (10 points)

What is your choice and its answer?"
89,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 3 + 9? (1 point)
2. What is 27 + 49? (10 points)
3. What is 84 + 80? (50 points)
4. What is 139 + 97? (100 points)

What is your choice and its answer?"
90,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 67 + 78? (50 points)
2. What is 5 + 6? (1 point)
3. What is 25 + 15? (10 points)
4. What is 111 + 118? (100 points)

What is your choice and its answer?"
91,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 31 + 11? (10 points)
2. What is 8 + 7? (1 point)
3. What is 103 + 101? (100 points)
4. What is 81 + 70? (50 points)

What is your choice and its answer?"
92,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 115 + 105? (100 points)
2. What is 67 + 88? (50 points)
3. What is 4 + 6? (1 point)
4. What is 26 + 31? (10 points)

What is your choice and its answer?"
93,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 1 + 9? (1 point)
2. What is 65 + 76? (50 points)
3. What is 22 + 15? (10 points)
4. What is 142 + 105? (100 points)

What is your choice and its answer?"
94,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 41 + 38? (10 points)
2. What is 117 + 84? (100 points)
3. What is 51 + 55? (50 points)
4. What is 4 + 8? (1 point)

What is your choice and its answer?"
95,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 29 + 47? (10 points)
2. What is 7 + 4? (1 point)
3. What is 147 + 92? (100 points)
4. What is 73 + 80? (50 points)

What is your choice and its answer?"
96,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 119 + 86? (100 points)
2. What is 31 + 32? (10 points)
3. What is 7 + 9? (1 point)
4. What is 79 + 67? (50 points)

What is your choice and its answer?"
97,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 4 + 2? (1 point)
2. What is 22 + 30? (10 points)
3. What is 57 + 84? (50 points)
4. What is 103 + 82? (100 points)

What is your choice and its answer?"
98,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 4 + 8? (1 point)
2. What is 27 + 47? (10 points)
3. What is 83 + 88? (50 points)
4. What is 116 + 76? (100 points)

What is your choice and its answer?"
99,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 24 + 33? (10 points)
2. What is 61 + 69? (50 points)
3. What is 81 + 115? (100 points)
4. What is 4 + 5? (1 point)

What is your choice and its answer?"
100,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 27 + 12? (10 points)
2. What is 117 + 114? (100 points)
3. What is 9 + 3? (1 point)
4. What is 53 + 85? (50 points)

What is your choice and its answer?"
